source,basis,month,dimension,value,records,domain_days,domains_peak,measured_days
afrinic,reverse,2012-03,all,all,19412,19412,19412,1
afrinic,reverse,2012-03,rr_type,NS,19412,19412,19412,1
afrinic,reverse,2012-03,rr_type,_total,19412,19412,19412,1
afrinic,reverse,2012-04,all,all,19487,19487,19487,1
afrinic,reverse,2012-04,rr_type,NS,19487,19487,19487,1
afrinic,reverse,2012-04,rr_type,_total,19487,19487,19487,1
afrinic,reverse,2012-05,algorithm_ds,8,49,13,13,1
afrinic,reverse,2012-05,algorithm_ds,_total,49,13,13,1
afrinic,reverse,2012-05,all,all,19593,19544,19544,1
afrinic,reverse,2012-05,digest_type_ds,1,24,12,12,1
afrinic,reverse,2012-05,digest_type_ds,2,25,13,13,1
afrinic,reverse,2012-05,digest_type_ds,_total,49,13,13,1
afrinic,reverse,2012-05,rr_type,DS,49,13,13,1
afrinic,reverse,2012-05,rr_type,NS,19544,19544,19544,1
afrinic,reverse,2012-05,rr_type,_total,19593,19544,19544,1
afrinic,reverse,2012-05,sha1_signing_ds,_total,49,13,13,1
afrinic,reverse,2012-05,sha1_signing_ds,other,49,13,13,1
afrinic,reverse,2012-07,algorithm_ds,5,3,2,2,1
afrinic,reverse,2012-07,algorithm_ds,8,49,13,13,1
afrinic,reverse,2012-07,algorithm_ds,_total,52,15,15,1
afrinic,reverse,2012-07,all,all,19874,19822,19822,1
afrinic,reverse,2012-07,digest_type_ds,1,26,14,14,1
afrinic,reverse,2012-07,digest_type_ds,2,26,14,14,1
afrinic,reverse,2012-07,digest_type_ds,_total,52,15,15,1
afrinic,reverse,2012-07,rr_type,DS,52,15,15,1
afrinic,reverse,2012-07,rr_type,NS,19822,19822,19822,1
afrinic,reverse,2012-07,rr_type,_total,19874,19822,19822,1
afrinic,reverse,2012-07,sha1_signing_ds,_total,52,15,15,1
afrinic,reverse,2012-07,sha1_signing_ds,other,49,13,13,1
afrinic,reverse,2012-07,sha1_signing_ds,sha1,3,2,2,1
afrinic,reverse,2012-08,algorithm_ds,5,3,2,2,1
afrinic,reverse,2012-08,algorithm_ds,8,49,13,13,1
afrinic,reverse,2012-08,algorithm_ds,_total,52,15,15,1
afrinic,reverse,2012-08,all,all,20000,19948,19948,1
afrinic,reverse,2012-08,digest_type_ds,1,26,14,14,1
afrinic,reverse,2012-08,digest_type_ds,2,26,14,14,1
afrinic,reverse,2012-08,digest_type_ds,_total,52,15,15,1
afrinic,reverse,2012-08,rr_type,DS,52,15,15,1
afrinic,reverse,2012-08,rr_type,NS,19948,19948,19948,1
afrinic,reverse,2012-08,rr_type,_total,20000,19948,19948,1
afrinic,reverse,2012-08,sha1_signing_ds,_total,52,15,15,1
afrinic,reverse,2012-08,sha1_signing_ds,other,49,13,13,1
afrinic,reverse,2012-08,sha1_signing_ds,sha1,3,2,2,1
afrinic,reverse,2012-09,algorithm_ds,5,3,2,2,1
afrinic,reverse,2012-09,algorithm_ds,8,48,12,12,1
afrinic,reverse,2012-09,algorithm_ds,_total,51,14,14,1
afrinic,reverse,2012-09,all,all,20010,19959,19959,1
afrinic,reverse,2012-09,digest_type_ds,1,26,14,14,1
afrinic,reverse,2012-09,digest_type_ds,2,25,13,13,1
afrinic,reverse,2012-09,digest_type_ds,_total,51,14,14,1
afrinic,reverse,2012-09,rr_type,DS,51,14,14,1
afrinic,reverse,2012-09,rr_type,NS,19959,19959,19959,1
afrinic,reverse,2012-09,rr_type,_total,20010,19959,19959,1
afrinic,reverse,2012-09,sha1_signing_ds,_total,51,14,14,1
afrinic,reverse,2012-09,sha1_signing_ds,other,48,12,12,1
afrinic,reverse,2012-09,sha1_signing_ds,sha1,3,2,2,1
afrinic,reverse,2012-10,algorithm_ds,5,1,1,1,1
afrinic,reverse,2012-10,algorithm_ds,8,48,12,12,1
afrinic,reverse,2012-10,algorithm_ds,_total,49,13,13,1
afrinic,reverse,2012-10,all,all,20213,20164,20164,1
afrinic,reverse,2012-10,digest_type_ds,1,25,13,13,1
afrinic,reverse,2012-10,digest_type_ds,2,24,12,12,1
afrinic,reverse,2012-10,digest_type_ds,_total,49,13,13,1
afrinic,reverse,2012-10,rr_type,DS,49,13,13,1
afrinic,reverse,2012-10,rr_type,NS,20164,20164,20164,1
afrinic,reverse,2012-10,rr_type,_total,20213,20164,20164,1
afrinic,reverse,2012-10,sha1_signing_ds,_total,49,13,13,1
afrinic,reverse,2012-10,sha1_signing_ds,other,48,12,12,1
afrinic,reverse,2012-10,sha1_signing_ds,sha1,1,1,1,1
afrinic,reverse,2012-11,algorithm_ds,5,1,1,1,1
afrinic,reverse,2012-11,algorithm_ds,8,48,12,12,1
afrinic,reverse,2012-11,algorithm_ds,_total,49,13,13,1
afrinic,reverse,2012-11,all,all,20545,20496,20496,1
afrinic,reverse,2012-11,digest_type_ds,1,25,13,13,1
afrinic,reverse,2012-11,digest_type_ds,2,24,12,12,1
afrinic,reverse,2012-11,digest_type_ds,_total,49,13,13,1
afrinic,reverse,2012-11,rr_type,DS,49,13,13,1
afrinic,reverse,2012-11,rr_type,NS,20496,20496,20496,1
afrinic,reverse,2012-11,rr_type,_total,20545,20496,20496,1
afrinic,reverse,2012-11,sha1_signing_ds,_total,49,13,13,1
afrinic,reverse,2012-11,sha1_signing_ds,other,48,12,12,1
afrinic,reverse,2012-11,sha1_signing_ds,sha1,1,1,1,1
afrinic,reverse,2012-12,algorithm_ds,5,1,1,1,1
afrinic,reverse,2012-12,algorithm_ds,8,48,12,12,1
afrinic,reverse,2012-12,algorithm_ds,_total,49,13,13,1
afrinic,reverse,2012-12,all,all,21367,21318,21318,1
afrinic,reverse,2012-12,digest_type_ds,1,25,13,13,1
afrinic,reverse,2012-12,digest_type_ds,2,24,12,12,1
afrinic,reverse,2012-12,digest_type_ds,_total,49,13,13,1
afrinic,reverse,2012-12,rr_type,DS,49,13,13,1
afrinic,reverse,2012-12,rr_type,NS,21318,21318,21318,1
afrinic,reverse,2012-12,rr_type,_total,21367,21318,21318,1
afrinic,reverse,2012-12,sha1_signing_ds,_total,49,13,13,1
afrinic,reverse,2012-12,sha1_signing_ds,other,48,12,12,1
afrinic,reverse,2012-12,sha1_signing_ds,sha1,1,1,1,1
