rfc_id,rfc_title,rfc_publication_date,first_seen,last_seen,days_from_publication_to_first_seen,observation_count,distinct_domains,distinct_zones,domains,zones,monthly_counts,yearly_counts,notes
RFC 4033,DNS Security Introduction and Requirements (DNSSEC base: RFC 4033/4034/4035),2005-03-01T00:00:00,2018-05-01T00:05:17,2018-05-01T05:26:58,4809,2211876,517471,1,kax.nu.; mysko.nu.; parkbuurt.nu.; rubb-stubb.nu.; sbr.nu.; wahlstroem.nu.; www.andasdjupt.nu.; xn--h-1fa.nu.,nu,2018-05=2211876,2018=2211876,"2211876 observation(s) counted for RFC 4033 (decisions counted: valid_match, ambiguous), spanning 2018-05-01T00:05:17 to 2018-05-01T05:26:58. Also observed but not counted: 409176 partial_match. Observation counts, first_seen and last_seen are exact over every row scanned. distinct_domains (517471) is a lower bound: the most distinct domains measured in any single month, summed across the disjoint OpenINTEL sources. Summing every partition's own estimate instead would give 517471, which counts a domain once per measurement day it appeared on; the true figure lies between the two, and this pipeline does not merge the underlying HyperLogLog sketches, so it cannot narrow that. The 8 listed domains and the listed zones come from sampled exemplars and are not the full set. Months with no qualifying observation are omitted rather than zero-filled, and a gap in OpenINTEL coverage is indistinguishable here from non-adoption."
RFC 4509,Use of SHA-256 in DNSSEC Delegation Signer (DS) Resource Records,2006-05-01T00:00:00,2018-05-01T00:05:17,2018-05-01T05:26:58,4383,131626,115019,1,kax.nu.; kx.nu.; matildas.nu.; mysko.nu.; rubb-stubb.nu.; sbr.nu.; xn--h-1fa.nu.,nu,2018-05=131626,2018=131626,"131626 observation(s) counted for RFC 4509 (decisions counted: valid_match, ambiguous), spanning 2018-05-01T00:05:17 to 2018-05-01T05:26:58. Observation counts, first_seen and last_seen are exact over every row scanned. distinct_domains (115019) is a lower bound: the most distinct domains measured in any single month, summed across the disjoint OpenINTEL sources. Summing every partition's own estimate instead would give 115019, which counts a domain once per measurement day it appeared on; the true figure lies between the two, and this pipeline does not merge the underlying HyperLogLog sketches, so it cannot narrow that. The 7 listed domains and the listed zones come from sampled exemplars and are not the full set. Months with no qualifying observation are omitted rather than zero-filled, and a gap in OpenINTEL coverage is indistinguishable here from non-adoption."
RFC 5155,DNS Security (DNSSEC) Hashed Authenticated Denial of Existence,2008-03-01T00:00:00,2018-05-01T00:05:17,2018-05-01T05:26:58,3713,408997,281985,1,123-nonexistant-dnsjedi-456.derooij.nu.; 123-nonexistant-dnsjedi-456.zopuur.nu.,nu,2018-05=408997,2018=408997,"408997 observation(s) counted for RFC 5155 (decisions counted: valid_match, ambiguous), spanning 2018-05-01T00:05:17 to 2018-05-01T05:26:58. Observation counts, first_seen and last_seen are exact over every row scanned. distinct_domains (281985) is a lower bound: the most distinct domains measured in any single month, summed across the disjoint OpenINTEL sources. Summing every partition's own estimate instead would give 281985, which counts a domain once per measurement day it appeared on; the true figure lies between the two, and this pipeline does not merge the underlying HyperLogLog sketches, so it cannot narrow that. The 2 listed domains and the listed zones come from sampled exemplars and are not the full set. Months with no qualifying observation are omitted rather than zero-filled, and a gap in OpenINTEL coverage is indistinguishable here from non-adoption."
RFC 6605,Elliptic Curve Digital Signature Algorithm (DSA) for DNSSEC,2012-04-01T00:00:00,2018-05-01T00:05:18,2018-05-01T05:26:58,2221,27631,5532,1,brolaugh.nu.; kx.nu.; matildas.nu.; membranes.nu.; parkbuurt.nu.; skreastrand.nu.; www.andasdjupt.nu.,nu,2018-05=27631,2018=27631,"27631 observation(s) counted for RFC 6605 (decisions counted: valid_match, ambiguous), spanning 2018-05-01T00:05:18 to 2018-05-01T05:26:58. Observation counts, first_seen and last_seen are exact over every row scanned. distinct_domains (5532) is a lower bound: the most distinct domains measured in any single month, summed across the disjoint OpenINTEL sources. Summing every partition's own estimate instead would give 5532, which counts a domain once per measurement day it appeared on; the true figure lies between the two, and this pipeline does not merge the underlying HyperLogLog sketches, so it cannot narrow that. The 7 listed domains and the listed zones come from sampled exemplars and are not the full set. Months with no qualifying observation are omitted rather than zero-filled, and a gap in OpenINTEL coverage is indistinguishable here from non-adoption."
RFC 7344,Automating DNSSEC Delegation Trust Maintenance,2014-09-01T00:00:00,2018-05-01T00:08:01,2018-05-01T05:25:01,1338,179,100,1,brolaugh.nu.; kx.nu.; matildas.nu.; membranes.nu.; skreastrand.nu.,nu,2018-05=179,2018=179,"179 observation(s) counted for RFC 7344 (decisions counted: valid_match, ambiguous), spanning 2018-05-01T00:08:01 to 2018-05-01T05:25:01. Observation counts, first_seen and last_seen are exact over every row scanned. distinct_domains (100) is a lower bound: the most distinct domains measured in any single month, summed across the disjoint OpenINTEL sources. Summing every partition's own estimate instead would give 100, which counts a domain once per measurement day it appeared on; the true figure lies between the two, and this pipeline does not merge the underlying HyperLogLog sketches, so it cannot narrow that. The 5 listed domains and the listed zones come from sampled exemplars and are not the full set. Months with no qualifying observation are omitted rather than zero-filled, and a gap in OpenINTEL coverage is indistinguishable here from non-adoption."
RFC 8078,Managing DS Records from the Parent via CDS/CDNSKEY,2017-03-01T00:00:00,,,,0,0,0,,,,,"No observation qualified for RFC 8078 (decisions counted: valid_match, ambiguous), so first_seen is null and every count is zero. The RFC was published 2017-03-01T00:00:00. A null first_seen is not evidence of non-adoption: the RFC's indicators may be non-queryable against this corpus, the relevant names may lie outside the measured sources, or the record-type prefilter may exclude the records that would carry the evidence. Check the review queue and the run warnings before reporting this RFC as unadopted."
RFC 8080,Edwards-Curve Digital Security Algorithm (EdDSA) for DNSSEC,2017-02-01T00:00:00,,,,0,0,0,,,,,"No observation qualified for RFC 8080 (decisions counted: valid_match, ambiguous), so first_seen is null and every count is zero. The RFC was published 2017-02-01T00:00:00. A null first_seen is not evidence of non-adoption: the RFC's indicators may be non-queryable against this corpus, the relevant names may lie outside the measured sources, or the record-type prefilter may exclude the records that would carry the evidence. Check the review queue and the run warnings before reporting this RFC as unadopted."
RFC 8624,Algorithm Implementation Requirements and Usage Guidance for DNSSEC,2019-06-01T00:00:00,,,,0,0,0,,,,,"No observation qualified for RFC 8624 (decisions counted: valid_match, ambiguous), so first_seen is null and every count is zero. Also observed but not counted: 2152427 partial_match, 27615 timestamp_invalid. The RFC was published 2019-06-01T00:00:00. A null first_seen is not evidence of non-adoption: the RFC's indicators may be non-queryable against this corpus, the relevant names may lie outside the measured sources, or the record-type prefilter may exclude the records that would carry the evidence. Check the review queue and the run warnings before reporting this RFC as unadopted."
