rfc_id,rfc_title,rfc_publication_date,first_seen,last_seen,days_from_publication_to_first_seen,observation_count,distinct_domains,distinct_zones,domains,zones,monthly_counts,yearly_counts,notes
RFC 4033,DNS Security Introduction and Requirements (DNSSEC base: RFC 4033/4034/4035),2005-03-01T00:00:00,2018-01-01T00:09:46,2026-04-29T06:32:27,4689,2323653512,2939647,0,123-nonexistant-dnsjedi-456.smalsparet.nu.; apps2grow.se.; bospararna.nu.; brtisverige.nu.; diamantduk.se.; holgersen.nu.; krossnassf.se.; leer-kracht.nu.; logistikbalsta.nu.; saltniklas.nu.; selark.se.; xn--bstaspelautomaterna-gwb.nu.; xn--mklarnett-v2a.se.; xn--smfdder-fxa6o.nu.; xn--strmstad-p4a.nu.; xn--vrbazzar-9za.se.; zzptoday.nu.,,2018-01=411512014; 2018-02=58403375; 2018-03=64097630; 2018-04=64217822; 2018-05=67012440; 2018-06=60481862; 2018-07=62986185; 2018-08=62980844; 2018-09=61030415; 2018-10=63691687; 2018-11=59421730; 2018-12=52064678; 2019-01=46793011; 2019-02=47259046; 2019-03=53474040; 2019-04=17822997; 2019-05=755170; 2019-06=731389; 2019-07=753668; 2019-08=748711; 2019-09=724319; 2019-10=754461; 2019-11=754153; 2019-12=784836; 2020-01=784381; 2020-02=744945; 2020-03=788252; 2020-04=747560; 2020-05=773820; 2020-06=744218; 2020-07=775890; 2020-08=784896; 2020-09=101558; 2021-01=196192370; 2021-02=57422169; 2021-03=63292628; 2021-04=60649772; 2021-05=60389937; 2021-06=60433501; 2021-07=62414495; 2021-08=62747031; 2021-09=60124627; 2021-10=62129987; 2021-11=60816661; 2021-12=62394398; 2023-01=32400898; 2023-02=902295; 2023-03=1000398; 2023-04=978851; 2023-05=996676; 2023-06=987540; 2023-07=1030127; 2023-08=995412; 2023-09=995666; 2023-10=1025123; 2023-11=985599; 2023-12=1038585; 2024-01=63369035; 2024-02=59023883; 2024-03=7081825; 2024-04=1063973; 2024-05=1123876; 2024-06=1087370; 2024-07=1091065; 2024-08=1143576; 2024-09=1312286; 2024-10=2350303; 2024-11=879910; 2024-12=1117310; 2026-01=1328734; 2026-02=1209364; 2026-03=1352350; 2026-04=1271903,2018=1087900682; 2019=171355801; 2020=6245520; 2021=869007576; 2023=43337170; 2024=140644412; 2026=5162351,"2323653512 observation(s) counted for RFC 4033 (decisions counted: valid_match, ambiguous), spanning 2018-01-01T00:09:46 to 2026-04-29T06:32:27. Also observed but not counted: 431834750 partial_match. Observation counts, first_seen and last_seen are exact over every row scanned. distinct_domains (2939647) is a lower bound: the most distinct domains measured in any single month, summed across the disjoint OpenINTEL sources. Summing every partition's own estimate instead would give 536703841, which counts a domain once per measurement day it appeared on; the true figure lies between the two, and this pipeline does not merge the underlying HyperLogLog sketches, so it cannot narrow that. The 17 listed domains and the listed zones come from sampled exemplars and are not the full set. Months with no qualifying observation are omitted rather than zero-filled, and a gap in OpenINTEL coverage is indistinguishable here from non-adoption."
RFC 4509,Use of SHA-256 in DNSSEC Delegation Signer (DS) Resource Records,2006-05-01T00:00:00,2018-01-01T00:09:46,2026-04-29T06:32:27,4263,135810997,954024,0,bcvwd.gov.; diamantduk.se.; landimaging.gov.; logistikbalsta.nu.; xn--strmstad-p4a.nu.; xn--vrbazzar-9za.se.; zzptoday.nu.,,2018-01=26799778; 2018-02=3286657; 2018-03=3676778; 2018-04=3752792; 2018-05=3964639; 2018-06=3631789; 2018-07=3750843; 2018-08=3744899; 2018-09=3621606; 2018-10=3659943; 2018-11=3263739; 2018-12=2709766; 2019-01=2602601; 2019-02=2384246; 2019-03=2704328; 2019-04=908754; 2019-05=47993; 2019-06=46431; 2019-07=47780; 2019-08=47254; 2019-09=45749; 2019-10=48207; 2019-11=48512; 2019-12=51768; 2020-01=52223; 2020-02=49606; 2020-03=52822; 2020-04=50383; 2020-05=52096; 2020-06=49464; 2020-07=51202; 2020-08=51804; 2020-09=6685; 2021-01=11897373; 2021-02=3164121; 2021-03=3494632; 2021-04=3362528; 2021-05=3349689; 2021-06=3354705; 2021-07=3465573; 2021-08=3465588; 2021-09=3348523; 2021-10=3469349; 2021-11=3352419; 2021-12=3445541; 2023-01=1828613; 2023-02=59556; 2023-03=65484; 2023-04=63057; 2023-05=65854; 2023-06=65594; 2023-07=69571; 2023-08=67382; 2023-09=65358; 2023-10=67678; 2023-11=66590; 2023-12=69925; 2024-01=3674633; 2024-02=3447425; 2024-03=428450; 2024-04=76960; 2024-05=82764; 2024-06=81498; 2024-07=83571; 2024-08=88143; 2024-09=101070; 2024-10=181044; 2024-11=67916; 2024-12=85236; 2026-01=109022; 2026-02=99275; 2026-03=111142; 2026-04=105008,2018=65863229; 2019=8983623; 2020=416285; 2021=49170041; 2023=2554662; 2024=8398710; 2026=424447,"135810997 observation(s) counted for RFC 4509 (decisions counted: valid_match, ambiguous), spanning 2018-01-01T00:09:46 to 2026-04-29T06:32:27. Observation counts, first_seen and last_seen are exact over every row scanned. distinct_domains (954024) is a lower bound: the most distinct domains measured in any single month, summed across the disjoint OpenINTEL sources. Summing every partition's own estimate instead would give 132604291, which counts a domain once per measurement day it appeared on; the true figure lies between the two, and this pipeline does not merge the underlying HyperLogLog sketches, so it cannot narrow that. The 7 listed domains and the listed zones come from sampled exemplars and are not the full set. Months with no qualifying observation are omitted rather than zero-filled, and a gap in OpenINTEL coverage is indistinguishable here from non-adoption."
RFC 5155,DNS Security (DNSSEC) Hashed Authenticated Denial of Existence,2008-03-01T00:00:00,2018-01-01T00:09:46,2026-04-29T06:31:27,3593,429544241,1551219,0,123-nonexistant-dnsjedi-456.vasaloppslager.se.; klickmonster.nu.; xn--lundsdyksllskap-8kb.se.,,2018-01=76976543; 2018-02=10928903; 2018-03=11933285; 2018-04=11885924; 2018-05=12773700; 2018-06=12310466; 2018-07=12718774; 2018-08=12696104; 2018-09=12268102; 2018-10=12650641; 2018-11=11996238; 2018-12=10975327; 2019-01=9512690; 2019-02=8691071; 2019-03=9773199; 2019-04=3223502; 2019-05=91313; 2019-06=87955; 2019-07=91786; 2019-08=87566; 2019-09=83359; 2019-10=85722; 2019-11=86819; 2019-12=91604; 2020-01=92003; 2020-02=85926; 2020-03=89115; 2020-04=80770; 2020-05=83307; 2020-06=82106; 2020-07=86125; 2020-08=86200; 2020-09=11122; 2021-01=35355425; 2021-02=10457695; 2021-03=11554236; 2021-04=11135980; 2021-05=11126957; 2021-06=11125137; 2021-07=11477324; 2021-08=11470834; 2021-09=11048345; 2021-10=11395680; 2021-11=11006703; 2021-12=11321553; 2023-01=5117398; 2023-02=84940; 2023-03=94286; 2023-04=88526; 2023-05=83774; 2023-06=82708; 2023-07=86039; 2023-08=83645; 2023-09=84391; 2023-10=86667; 2023-11=84040; 2023-12=89396; 2024-01=10328076; 2024-02=9686315; 2024-03=1084525; 2024-04=86703; 2024-05=86854; 2024-06=82667; 2024-07=82594; 2024-08=86311; 2024-09=98667; 2024-10=175592; 2024-11=65961; 2024-12=84354; 2026-01=88964; 2026-02=80083; 2026-03=86938; 2026-04=80691,2018=210114007; 2019=31906586; 2020=696674; 2021=158475869; 2023=6065810; 2024=21948619; 2026=336676,"429544241 observation(s) counted for RFC 5155 (decisions counted: valid_match, ambiguous), spanning 2018-01-01T00:09:46 to 2026-04-29T06:31:27. Observation counts, first_seen and last_seen are exact over every row scanned. distinct_domains (1551219) is a lower bound: the most distinct domains measured in any single month, summed across the disjoint OpenINTEL sources. Summing every partition's own estimate instead would give 258521282, which counts a domain once per measurement day it appeared on; the true figure lies between the two, and this pipeline does not merge the underlying HyperLogLog sketches, so it cannot narrow that. The 3 listed domains and the listed zones come from sampled exemplars and are not the full set. Months with no qualifying observation are omitted rather than zero-filled, and a gap in OpenINTEL coverage is indistinguishable here from non-adoption."
RFC 6605,Elliptic Curve Digital Signature Algorithm (DSA) for DNSSEC,2012-04-01T00:00:00,2018-01-01T00:10:26,2026-04-29T06:32:27,2101,549969844,1189221,0,123-nonexistant-dnsjedi-456.smalsparet.nu.; bcvwd.gov.; bospararna.nu.; brtisverige.nu.; falmouthma.gov.; fantastiskafonster.nu.; holgersen.nu.; landimaging.gov.; selark.se.; xn--mklarnett-v2a.se.; xn--smfdder-fxa6o.nu.; zzptoday.nu.,,2018-01=15425166; 2018-02=778890; 2018-03=901219; 2018-04=837304; 2018-05=926667; 2018-06=987730; 2018-07=1024133; 2018-08=1118681; 2018-09=1268654; 2018-10=2076384; 2018-11=4696458; 2018-12=4312694; 2019-01=4800014; 2019-02=8603976; 2019-03=10182874; 2019-04=3424888; 2019-05=49585; 2019-06=51118; 2019-07=54234; 2019-08=56472; 2019-09=58880; 2019-10=66755; 2019-11=71892; 2019-12=76110; 2020-01=78582; 2020-02=76067; 2020-03=83961; 2020-04=93435; 2020-05=98719; 2020-06=99629; 2020-07=111797; 2020-08=115226; 2020-09=15112; 2021-01=81848969; 2021-02=23593711; 2021-03=26303921; 2021-04=25653637; 2021-05=25728599; 2021-06=25782019; 2021-07=26712228; 2021-08=29539856; 2021-09=28761433; 2021-10=29812849; 2021-11=29403537; 2021-12=30191106; 2023-01=17302794; 2023-02=300782; 2023-03=339723; 2023-04=339859; 2023-05=371009; 2023-06=399754; 2023-07=435167; 2023-08=427648; 2023-09=437648; 2023-10=463823; 2023-11=463555; 2023-12=488862; 2024-01=35227994; 2024-02=32919192; 2024-03=3891317; 2024-04=548975; 2024-05=612150; 2024-06=637738; 2024-07=645739; 2024-08=683323; 2024-09=792189; 2024-10=1434852; 2024-11=547879; 2024-12=698900; 2026-01=908359; 2026-02=837697; 2026-03=951464; 2026-04=906281,2018=34353980; 2019=27496798; 2020=772528; 2021=383331865; 2023=21770624; 2024=78640248; 2026=3603801,"549969844 observation(s) counted for RFC 6605 (decisions counted: valid_match, ambiguous), spanning 2018-01-01T00:10:26 to 2026-04-29T06:32:27. Observation counts, first_seen and last_seen are exact over every row scanned. distinct_domains (1189221) is a lower bound: the most distinct domains measured in any single month, summed across the disjoint OpenINTEL sources. Summing every partition's own estimate instead would give 159647476, which counts a domain once per measurement day it appeared on; the true figure lies between the two, and this pipeline does not merge the underlying HyperLogLog sketches, so it cannot narrow that. The 12 listed domains and the listed zones come from sampled exemplars and are not the full set. Months with no qualifying observation are omitted rather than zero-filled, and a gap in OpenINTEL coverage is indistinguishable here from non-adoption."
RFC 7344,Automating DNSSEC Delegation Trust Maintenance,2014-09-01T00:00:00,2018-01-01T00:11:12,2026-04-29T06:32:27,1218,2290509,2663,0,bcvwd.gov.; bowen.nu.; charlesmixcounty.gov.; cottagecitymd.gov.; dlan.nu.; falmouthma.gov.; fantastiskafonster.nu.; landimaging.gov.; newrussiatownship-oh.gov.,,2018-01=27610; 2018-02=4373; 2018-03=6220; 2018-04=8333; 2018-05=10273; 2018-06=10464; 2018-07=11208; 2018-08=11448; 2018-09=11230; 2018-10=12052; 2018-11=12778; 2018-12=13585; 2019-01=14284; 2019-02=16530; 2019-03=22317; 2019-04=10792; 2019-05=5295; 2019-06=5206; 2019-07=5497; 2019-08=5682; 2019-09=5459; 2019-10=5706; 2019-11=5678; 2019-12=5993; 2020-01=6114; 2020-02=5858; 2020-03=6597; 2020-04=7986; 2020-05=8333; 2020-06=8350; 2020-07=8788; 2020-08=9134; 2020-09=1206; 2021-01=90618; 2021-02=35548; 2021-03=39840; 2021-04=37694; 2021-05=36270; 2021-06=41048; 2021-07=43357; 2021-08=44354; 2021-09=43544; 2021-10=50474; 2021-11=51613; 2021-12=51762; 2023-01=51894; 2023-02=19145; 2023-03=21624; 2023-04=20585; 2023-05=22288; 2023-06=25632; 2023-07=28614; 2023-08=28472; 2023-09=29413; 2023-10=31430; 2023-11=31765; 2023-12=33547; 2024-01=145588; 2024-02=137883; 2024-03=47883; 2024-04=39146; 2024-05=44770; 2024-06=45010; 2024-07=45986; 2024-08=49089; 2024-09=57133; 2024-10=103778; 2024-11=38982; 2024-12=49937; 2026-01=66635; 2026-02=61362; 2026-03=69864; 2026-04=66553,2018=139574; 2019=108439; 2020=62366; 2021=566122; 2023=344409; 2024=805185; 2026=264414,"2290509 observation(s) counted for RFC 7344 (decisions counted: valid_match, ambiguous), spanning 2018-01-01T00:11:12 to 2026-04-29T06:32:27. Observation counts, first_seen and last_seen are exact over every row scanned. distinct_domains (2663) is a lower bound: the most distinct domains measured in any single month, summed across the disjoint OpenINTEL sources. Summing every partition's own estimate instead would give 1085820, which counts a domain once per measurement day it appeared on; the true figure lies between the two, and this pipeline does not merge the underlying HyperLogLog sketches, so it cannot narrow that. The 9 listed domains and the listed zones come from sampled exemplars and are not the full set. Months with no qualifying observation are omitted rather than zero-filled, and a gap in OpenINTEL coverage is indistinguishable here from non-adoption."
RFC 8078,Managing DS Records from the Parent via CDS/CDNSKEY,2017-03-01T00:00:00,2018-08-29T01:42:01,2026-04-29T06:28:26,546,165951,325,0,bowen.nu.; charlesmixcounty.gov.; cottagecitymd.gov.; dlan.nu.; newrussiatownship-oh.gov.,,2018-08=6; 2018-09=60; 2018-10=62; 2018-11=100; 2018-12=202; 2019-01=422; 2019-02=540; 2019-03=602; 2019-04=202; 2019-08=58; 2019-09=60; 2019-10=66; 2019-11=120; 2019-12=124; 2020-01=124; 2020-02=124; 2020-03=246; 2020-04=240; 2020-05=248; 2020-06=292; 2020-07=310; 2020-08=408; 2020-09=74; 2021-01=9270; 2021-02=4148; 2021-03=4762; 2021-04=4406; 2021-05=4306; 2021-06=4574; 2021-07=4918; 2021-08=5134; 2021-09=5136; 2021-10=5342; 2021-11=5382; 2021-12=5864; 2023-01=3722; 2023-02=1262; 2023-03=1396; 2023-04=1326; 2023-05=1561; 2023-06=1748; 2023-07=1972; 2023-08=2032; 2023-09=2220; 2023-10=2438; 2023-11=2438; 2023-12=2662; 2024-01=8580; 2024-02=8414; 2024-03=3648; 2024-04=3046; 2024-05=3244; 2024-06=3192; 2024-07=3310; 2024-08=3466; 2024-09=4088; 2024-10=7390; 2024-11=2738; 2024-12=3604; 2026-01=4554; 2026-02=4220; 2026-03=4964; 2026-04=4784,2018=430; 2019=2194; 2020=2066; 2021=63242; 2023=24777; 2024=54720; 2026=18522,"165951 observation(s) counted for RFC 8078 (decisions counted: valid_match, ambiguous), spanning 2018-08-29T01:42:01 to 2026-04-29T06:28:26. Observation counts, first_seen and last_seen are exact over every row scanned. distinct_domains (325) is a lower bound: the most distinct domains measured in any single month, summed across the disjoint OpenINTEL sources. Summing every partition's own estimate instead would give 81475, which counts a domain once per measurement day it appeared on; the true figure lies between the two, and this pipeline does not merge the underlying HyperLogLog sketches, so it cannot narrow that. The 5 listed domains and the listed zones come from sampled exemplars and are not the full set. Months with no qualifying observation are omitted rather than zero-filled, and a gap in OpenINTEL coverage is indistinguishable here from non-adoption."
RFC 8624,Algorithm Implementation Requirements and Usage Guidance for DNSSEC,2019-06-01T00:00:00,2019-06-01T00:14:44,2026-04-29T06:32:27,0,495136786,1217448,0,123-nonexistant-dnsjedi-456.smalsparet.nu.; apps2grow.se.; bcvwd.gov.; bospararna.nu.; brtisverige.nu.; falmouthma.gov.; fantastiskafonster.nu.; holgersen.nu.; krossnassf.se.; xn--smfdder-fxa6o.nu.; zzptoday.nu.,,2019-06=51118; 2019-07=54234; 2019-08=56472; 2019-09=58880; 2019-10=66755; 2019-11=71892; 2019-12=76110; 2020-01=78582; 2020-02=76067; 2020-03=83961; 2020-04=93423; 2020-05=98679; 2020-06=99569; 2020-07=111735; 2020-08=115164; 2020-09=15104; 2021-01=87316023; 2021-02=24071338; 2021-03=26764670; 2021-04=25816169; 2021-05=25727735; 2021-06=25779150; 2021-07=26709161; 2021-08=29536619; 2021-09=28758361; 2021-10=29810232; 2021-11=29401020; 2021-12=30188808; 2023-01=17348227; 2023-02=300642; 2023-03=339568; 2023-04=339709; 2023-05=370856; 2023-06=399604; 2023-07=435013; 2023-08=427498; 2023-09=437498; 2023-10=463668; 2023-11=463405; 2023-12=488710; 2024-01=35225583; 2024-02=32917147; 2024-03=3890964; 2024-04=548825; 2024-05=611995; 2024-06=637588; 2024-07=645590; 2024-08=683169; 2024-09=792014; 2024-10=1434542; 2024-11=547764; 2024-12=698755; 2026-01=907739; 2026-02=837137; 2026-03=950844; 2026-04=905701,2019=435461; 2020=772284; 2021=389879286; 2023=21814398; 2024=78633936; 2026=3601421,"495136786 observation(s) counted for RFC 8624 (decisions counted: valid_match, ambiguous), spanning 2019-06-01T00:14:44 to 2026-04-29T06:32:27. Also observed but not counted: 1736968879 partial_match, 61401575 timestamp_invalid. Observation counts, first_seen and last_seen are exact over every row scanned. distinct_domains (1217448) is a lower bound: the most distinct domains measured in any single month, summed across the disjoint OpenINTEL sources. Summing every partition's own estimate instead would give 133989663, which counts a domain once per measurement day it appeared on; the true figure lies between the two, and this pipeline does not merge the underlying HyperLogLog sketches, so it cannot narrow that. The 11 listed domains and the listed zones come from sampled exemplars and are not the full set. Months with no qualifying observation are omitted rather than zero-filled, and a gap in OpenINTEL coverage is indistinguishable here from non-adoption."
RFC 8080,Edwards-Curve Digital Security Algorithm (EdDSA) for DNSSEC,2017-02-01T00:00:00,2021-01-01T00:05:45,2024-11-07T06:35:41,1430,6642303,53365,0,apps2grow.se.; krossnassf.se.,,2021-01=5473847; 2021-02=480612; 2021-03=464182; 2021-04=165876; 2021-05=2646; 2021-06=659; 2021-07=465; 2021-08=465; 2021-09=450; 2021-10=496; 2021-11=480; 2021-12=496; 2023-01=48237; 2024-01=1655; 2024-02=1537; 2024-03=159; 2024-10=34; 2024-11=7,2021=6590674; 2023=48237; 2024=3392,"6642303 observation(s) counted for RFC 8080 (decisions counted: valid_match, ambiguous), spanning 2021-01-01T00:05:45 to 2024-11-07T06:35:41. Observation counts, first_seen and last_seen are exact over every row scanned. distinct_domains (53365) is a lower bound: the most distinct domains measured in any single month, summed across the disjoint OpenINTEL sources. Summing every partition's own estimate instead would give 924542, which counts a domain once per measurement day it appeared on; the true figure lies between the two, and this pipeline does not merge the underlying HyperLogLog sketches, so it cannot narrow that. The 2 listed domains and the listed zones come from sampled exemplars and are not the full set. Months with no qualifying observation are omitted rather than zero-filled, and a gap in OpenINTEL coverage is indistinguishable here from non-adoption."
