cve,published,scope,mechanism,rfc,project,role,fix_version,fix_release_date,commit_date,days_from_publication_to_release,released_before_publication,commit_subject
CVE-2020-12662,2020-05-19,dns,,,Unbound,resolver,1.11.0,2020-07-20,2020-05-19,62,False,- CVE-2020-12662 Unbound can be tricked into amplifying an incoming   query into a large number of queries directed to a target. - CVE-2020-12663 Malf
CVE-2020-12663,2020-05-19,dns,,,Unbound,resolver,1.11.0,2020-07-20,2020-05-19,62,False,- CVE-2020-12662 Unbound can be tricked into amplifying an incoming   query into a large number of queries directed to a target. - CVE-2020-12663 Malf
CVE-2020-12667,2020-05-19,dns,,,Knot Resolver,resolver,5.1.1,2020-05-19,2020-05-05,0,False,NEWS for NXNSAttack CVE-2020-12667
CVE-2020-25829,2020-10-16,dnssec,validation,RFC 4035,PowerDNS Authoritative,authoritative,,,2020-10-12,,,Backport of CVE-2020-25829 (any-cache-update) to 4.2.x
CVE-2020-25829,2020-10-16,dnssec,validation,RFC 4035,PowerDNS Recursor,resolver,4.2.5,2020-10-13,2020-10-12,-3,True,Backport of CVE-2020-25829 (any-cache-update) to 4.2.x
CVE-2020-28935,2020-12-07,dns,,,NSD,authoritative,4.3.4,2020-11-24,2020-11-23,-13,True,- Fix for CVE-2020-28935 : Fix that symlink does not interfere   with chown of pidfile.
CVE-2020-28935,2020-12-07,dns,,,Unbound,resolver,1.13.0,2020-12-03,2020-11-23,-4,True,"Further fix for CVE-2020-28935, so the chown is omitted when the pidfile fails due to a symlink."
CVE-2020-8616,2020-05-19,dns,,,BIND 9,both,9.11.20,2020-06-10,2020-05-19,22,False,Merge branch 'v9_11_19-release' into 'v9_11'
CVE-2020-8617,2020-05-19,dns,,,BIND 9,both,9.11.20,2020-06-10,2020-05-19,22,False,Merge branch 'v9_11_19-release' into 'v9_11'
CVE-2020-8618,2020-06-17,dns,,,BIND 9,both,9.16.5,2020-07-03,2020-06-18,16,False,Merge branch 'v9_16_4-release' into 'v9_16'
CVE-2020-8619,2020-06-17,dns,,,BIND 9,both,9.11.21,2020-07-03,2020-06-18,16,False,Merge branch 'v9_11_20-release' into 'v9_11'
CVE-2020-8620,2020-08-21,dns,,,BIND 9,both,9.16.6,2020-08-10,2020-08-05,-11,True,Merge branch '1996-confidential-issue-v9_16' into 'security-v9_16'
CVE-2020-8621,2020-08-21,dns,,,BIND 9,both,9.16.6,2020-08-10,2020-08-05,-11,True,Merge branch '1997-confidential-issue-v9_16' into 'security-v9_16'
CVE-2020-8622,2020-08-21,dns,,,BIND 9,both,9.11.22,2020-08-06,2020-08-05,-15,True,Merge branch '2028-unexpectedend-and-tsig-v9_11' into 'security-v9_11'
CVE-2020-8623,2020-08-21,dns,,,BIND 9,both,9.11.22,2020-08-06,2020-08-05,-15,True,Merge branch '2037-confidential-issue-v9_11' into 'security-v9_11'
CVE-2020-8624,2020-08-21,dns,,,BIND 9,both,9.11.22,2020-08-06,2020-08-05,-15,True,Merge branch '2055-grant-subdomain-fix-v9_11' into 'security-v9_11'
CVE-2020-8625,2021-02-17,dependency,,,BIND 9,both,9.11.29,2021-03-09,2021-02-04,20,False,Merge branch '2354-security-off-by-one-error-in-spnego-v9_11' into 'security-v9_11'
CVE-2021-25214,2021-04-29,dns,,,BIND 9,both,9.11.32,2021-05-12,2021-04-12,13,False,Merge branch '2467-confidential-issue-ixfr-checks-v9_11' into 'security-v9_11'
CVE-2021-25215,2021-04-29,dns,,,BIND 9,both,9.11.32,2021-05-12,2021-04-12,13,False,Merge branch '2540-confidential-issue-existing-dname-v9_11' into 'security-v9_11'
CVE-2021-25216,2021-04-29,dependency,,,BIND 9,both,9.11.32,2021-05-12,2021-04-12,13,False,Merge branch '2604-confidential-issue-spnego-v9_11' into 'security-v9_11'
CVE-2021-25218,2021-08-18,dns,,,BIND 9,both,9.17.18,2021-09-07,2021-08-06,20,False,Merge branch '2839-confidential-rrl-msgsize' into 'security-main'
CVE-2021-25219,2021-10-27,dns,,,BIND 9,both,9.11.37,2022-03-07,2021-10-11,131,False,Merge branch '2899-security-disable-lame-cache-v9_11' into 'security-v9_11'
CVE-2021-25220,2022-03-23,dns,,,BIND 9,both,9.16.28,2022-04-11,2022-03-03,19,False,Merge branch '2950-confidential-cache-acceptance-rules-v9_16' into 'security-v9_16'
CVE-2021-40083,2021-08-25,dnssec,nsec3,RFC 5155,Knot Resolver,resolver,5.4.2,2021-10-13,2021-08-25,49,False,NEWS 5.3.2: add CVE-2021-40083 reference
CVE-2022-0396,2022-03-23,dns,,,BIND 9,both,9.16.28,2022-04-11,2022-03-03,19,False,Merge branch '3112-ensure-correct-ordering-in-isc__nm_process_sock_buffer-v9_16' into 'security-v9_16'
CVE-2022-0635,2022-03-23,dns,,,BIND 9,both,9.18.2,2022-04-11,2022-02-17,19,False,Add regression test for CVE-2022-0635
CVE-2022-0667,2022-03-22,dns,,,BIND 9,both,9.18.2,2022-04-11,2022-03-03,20,False,Merge branch '3129-check-fetch-shutting-down-in-resume_dslookup-v9_18' into 'security-v9_18'
CVE-2022-1183,2022-05-19,dns,,,BIND 9,both,9.18.3,2022-05-09,2022-05-05,-10,True,Merge branch '3216-sslyze-crash-fix-v9_18' into 'security-v9_18'
CVE-2022-2795,2022-09-21,dns,,,BIND 9,both,,,2022-09-06,,,Add tests for CVE-2022-2795
CVE-2022-2881,2022-09-21,dns,,,BIND 9,both,9.18.7,2022-09-08,2022-08-16,-13,True,CHANGES and release notes for CVE-2022-2881 [GL #3493]
CVE-2022-2906,2022-09-21,dependency,,,BIND 9,both,9.18.7,2022-09-08,2022-09-08,-13,True,Merge branch '3491-security-fix-openssl-dh-memory-leaks-v9_18' into 'security-v9_18'
CVE-2022-30698,2022-08-01,dns,,,Unbound,resolver,1.16.2,2022-08-01,2022-08-01,0,False,- Fix the novel ghost domain issues CVE-2022-30698 and CVE-2022-30699.
CVE-2022-30699,2022-08-01,dns,,,Unbound,resolver,1.16.2,2022-08-01,2022-08-01,0,False,- Fix the novel ghost domain issues CVE-2022-30698 and CVE-2022-30699.
CVE-2022-3080,2022-09-21,dns,,,BIND 9,both,9.16.33,2022-09-08,2022-09-08,-13,True,Merge branch '3517-serve-stale-client-timeout-0-cname-crash-v9_16' into 'security-v9_16'
CVE-2022-3094,2023-01-26,dns,,,BIND 9,both,9.16.37,2023-01-12,2023-01-12,-14,True,Merge branch '3523-confidential-update-quota-v9_16' into 'security-v9_16'
CVE-2022-3204,2022-09-26,dnssec,dnskey,RFC 4034,Unbound,resolver,1.16.3,2022-09-21,2022-09-21,-5,True,- Patch for CVE-2022-3204 Non-Responsive Delegation Attack.
CVE-2022-3736,2023-01-26,dnssec,rrsig,RFC 4035,BIND 9,both,9.16.37,2023-01-12,2023-01-12,-14,True,Merge branch '3622-serve-stale-rrsig-fix-security-v9_16' into 'security-v9_16'
CVE-2022-37428,2022-08-23,dependency,,,PowerDNS Authoritative,authoritative,,,2022-08-03,,,Backport of protobuf PSA 2022-02 (CVE-2022-37428) to rec-4.5.x
CVE-2022-37428,2022-08-23,dependency,,,PowerDNS Recursor,resolver,4.5.10,2022-08-23,2022-08-03,0,False,Backport of protobuf PSA 2022-02 (CVE-2022-37428) to rec-4.5.x
CVE-2022-38177,2022-09-21,dnssec,algorithm,RFC 6605/8080,BIND 9,both,9.16.33,2022-09-08,2022-09-08,-13,True,Merge branch '3487-ecdsa-verify-leak' into 'security-v9_16'
CVE-2022-38178,2022-09-21,dnssec,algorithm,RFC 6605/8080,BIND 9,both,9.16.33,2022-09-08,2022-09-08,-13,True,Merge branch '3487-eddsa-verify-leak-v9_16' into 'security-v9_16'
CVE-2022-3924,2023-01-26,dns,,,BIND 9,both,9.16.39,2023-03-06,2022-11-11,39,False,Add tests for CVE-2022-3924
CVE-2022-40188,2022-09-23,dns,,,Knot Resolver,resolver,,,2022-08-17,,,lib/zonecut + iterator: limit large NS sets
CVE-2023-26437,2023-04-04,dns,,,PowerDNS Authoritative,authoritative,,,2023-03-16,,,PowerDNS Security Advisory 2023-02: Deterred spoofing attempts can lead to authoritative servers being marked unavailable (CVE-2023-26437)
CVE-2023-26437,2023-04-04,dns,,,PowerDNS Recursor,resolver,4.6.6,2023-03-29,2023-03-16,-6,True,PowerDNS Security Advisory 2023-02: Deterred spoofing attempts can lead to authoritative servers being marked unavailable (CVE-2023-26437)
CVE-2023-2828,2023-06-21,dns,,,BIND 9,both,,,2023-07-26,,,Merge branch '4055-improve-the-overmem-cache-cleaning-9.11' into 'bind-9.11'
CVE-2023-2911,2023-06-21,dns,,,BIND 9,both,9.16.42,2023-06-09,2023-06-09,-12,True,Merge branch '4089-confidential-stale-query-loop-bind-9.16' into 'security-bind-9.16'
CVE-2023-3341,2023-09-20,dns,,,BIND 9,both,9.18.20,2023-11-09,2023-07-12,50,False,Add test for CVE-2023-3341
CVE-2023-4236,2023-09-20,dns,,,BIND 9,both,9.18.19,2023-09-11,2023-09-08,-9,True,Merge branch '4242-use-after-free-fix' into 'security-bind-9.18'
CVE-2023-4408,2024-02-13,dns,,,BIND 9,both,9.16.48,2024-02-11,2024-01-05,-2,True,Merge branch '4234-confidential-use-hashmap-when-parsing-9.16' into 'v9.16.46-release'
CVE-2023-46317,2023-10-22,dns,,,Knot Resolver,resolver,5.7.0,2023-08-22,,-61,True,CVE-2023-46317 got later assigned to this issue.
CVE-2023-50387,2024-02-14,dnssec,dnskey,RFC 4034,BIND 9,both,9.16.48,2024-02-11,2024-02-01,-3,True,Merge branch 'ondrej/split-taskmgr-9.16' into 'v9.16.47-release'
CVE-2023-50387,2024-02-14,dnssec,dnskey,RFC 4034,Knot Resolver,resolver,,,2024-01-01,,,mitigate KeyTrap DoS = CVE-2023-50387
CVE-2023-50387,2024-02-14,dnssec,dnskey,RFC 4034,PowerDNS Authoritative,authoritative,4.9.0,2024-03-14,2024-02-09,29,False,rec: CVE-2023-50387 and CVE-2023-50868
CVE-2023-50387,2024-02-14,dnssec,dnskey,RFC 4034,PowerDNS Recursor,resolver,5.1.0,2024-07-08,2024-02-09,145,False,rec: CVE-2023-50387 and CVE-2023-50868
CVE-2023-50387,2024-02-14,dnssec,dnskey,RFC 4034,Unbound,resolver,1.19.1,2024-02-13,2024-02-13,-1,True,"- Fix CVE-2023-50387, DNSSEC verification complexity can be exploited to   exhaust CPU resources and stall DNS resolvers."
CVE-2023-50868,2024-02-14,dnssec,nsec3,RFC 5155,BIND 9,both,9.16.50,2024-04-03,2024-02-14,49,False,Mention CVE-2023-50868 in CHANGES entry 6322
CVE-2023-50868,2024-02-14,dnssec,nsec3,RFC 5155,Knot Resolver,resolver,,,2024-02-12,,,validator: refuse to validate answers with more than 8 NSEC3 records
CVE-2023-50868,2024-02-14,dnssec,nsec3,RFC 5155,PowerDNS Authoritative,authoritative,4.9.0,2024-03-14,2024-02-09,29,False,rec: CVE-2023-50387 and CVE-2023-50868
CVE-2023-50868,2024-02-14,dnssec,nsec3,RFC 5155,PowerDNS Recursor,resolver,5.1.0,2024-07-08,2024-02-09,145,False,rec: CVE-2023-50387 and CVE-2023-50868
CVE-2023-50868,2024-02-14,dnssec,nsec3,RFC 5155,Unbound,resolver,1.19.1,2024-02-13,2024-02-13,-1,True,"- Fix CVE-2023-50868, NSEC3 closest encloser proof can exhaust CPU."
CVE-2023-5517,2024-02-13,dns,,,BIND 9,both,9.16.48,2024-02-11,2024-01-05,-2,True,Merge branch '4281-confidential-redirect-rfc1918-check-failure-bind-9.16' into 'v9.16.46-release'
CVE-2023-5679,2024-02-13,dns,,,BIND 9,both,9.16.48,2024-02-11,2024-01-05,-2,True,Merge branch '4334-confidential-dns64-and-serve-stale-bind-9.16' into 'v9.16.46-release'
CVE-2023-6193,,dns,,,PowerDNS Authoritative,authoritative,4.9.0,2024-03-14,2024-01-23,,,dnsdist: Update Quiche to 0.20.0
CVE-2023-6193,,dns,,,PowerDNS Recursor,resolver,5.1.0,2024-07-08,2024-01-23,,,dnsdist: Update Quiche to 0.20.0
CVE-2023-6516,2024-02-13,dns,,,BIND 9,both,9.16.48,2024-02-11,2024-01-05,-2,True,Merge branch '4383-security-limit-tree-pruning-overhead-9.16' into 'v9.16.46-release'
CVE-2024-0760,,dns,,,BIND 9,both,9.18.28,2024-07-08,2024-06-10,,,Merge branch '4481-security-tcp-flood-9.18' into 'v9.18.28-release'
CVE-2024-11187,,dns,,,BIND 9,both,9.18.33,2025-01-20,2025-01-15,,,[9.18] [CVE-2024-11187] sec: usr: Limit the additional processing for large RDATA sets
CVE-2024-12705,,dns,,,BIND 9,both,9.18.33,2025-01-20,2025-01-15,,,[9.18] [CVE-2024-12705] sec: usr: DNS-over-HTTP(s) flooding fixes
CVE-2024-1737,,dns,,,BIND 9,both,9.18.28,2024-07-08,2024-07-02,,,Merge branch '3405-security-limit-the-number-of-resource-records-in-rrset-nxdomain-9.18' into 'v9.18.28-release'
CVE-2024-1931,2024-03-07,dns,,,Unbound,resolver,1.19.3,2024-03-11,2024-03-07,4,False,"- Version set to 1.19.3 for release. After 1.19.2 point release with   security fix for CVE-2024-1931, Denial of service when trimming   EDE text on p"
CVE-2024-1975,2024-07-23,dnssec,validation,RFC 4035,BIND 9,both,9.18.28,2024-07-08,2024-06-10,-15,True,Merge branch 'security-4480-drop-sig0-support' into 'v9.18.28-release'
CVE-2024-25583,,dns,,,PowerDNS Authoritative,authoritative,,,2024-04-09,,,rec: backport CVE-2024-25583 to rel/rec-4.8.8-branch
CVE-2024-25583,,dns,,,PowerDNS Recursor,resolver,4.8.8,2024-04-09,2024-04-09,,,rec: backport CVE-2024-25583 to rel/rec-4.8.8-branch
CVE-2024-25590,,dns,,,PowerDNS Authoritative,authoritative,,,2024-10-03,,,Merge pull request #14745 from omoerbeek/rec-4.9.9-branch
CVE-2024-25590,,dns,,,PowerDNS Recursor,resolver,,,2024-10-03,,,Merge pull request #14745 from omoerbeek/rec-4.9.9-branch
CVE-2024-33655,,dns,,,Unbound,resolver,1.20.0,2024-05-01,2024-05-01,,,- Fix for the DNSBomb vulnerability CVE-2024-33655. Thanks to Xiang Li   from the Network and Information Security Lab of Tsinghua University   for re
CVE-2024-4076,,dns,,,BIND 9,both,9.18.28,2024-07-08,2024-06-10,,,Merge branch '4507-confidential-clear-zversion-v9_18' into 'v9.18.28-release'
CVE-2024-8508,2024-10-03,dns,,,Unbound,resolver,1.22.0,2024-10-16,2024-10-03,13,False,"- The fix for CVE-2024-8508 was part of 1.21.1, a security point release   on 1.21.0. The code repository continues with this fix and the version   nu"
CVE-2025-11411,,dns,,,Unbound,resolver,1.24.1,2025-10-22,2025-10-22,,,"- Fix CVE-2025-11411 (possible domain hijacking attack), reported by Yuxiao Wu,   Yunyi Zhang, Baojun Liu and Haixin Duan from Tsinghua University."
CVE-2025-13878,,dns,,,BIND 9,both,9.18.44,2026-01-09,2026-01-08,,,[9.18] [CVE-2025-13878] sec: usr: Fix incorrect length checks for BRID and HHIT records
CVE-2025-40775,,dns,,,BIND 9,both,9.20.9,2025-05-08,2025-05-07,,,[9.20] [CVE-2025-40775] sec: usr: Prevent assertion when processing TSIG algorithm
