cve,published,scope,mechanism,rfc,project,role,fix_version,fix_release_date,commit_date,days_from_publication_to_release,released_before_publication,commit_subject
CVE-2026-33609,,dns,,,PowerDNS Recursor,resolver,,,2026-04-22,,,"Rewrite the ldap escape function, and always escape network-controlled input."
CVE-2026-33610,,dns,,,PowerDNS Authoritative,authoritative,5.1.0,2026-06-02,2026-04-22,,,Make sure to wrap the socket in a unique_ptr to close it in all cases.
CVE-2026-33610,,dns,,,PowerDNS Recursor,resolver,,,2026-04-22,,,Make sure to wrap the socket in a unique_ptr to close it in all cases.
CVE-2026-33611,,dns,,,PowerDNS Authoritative,authoritative,5.1.0,2026-06-02,2026-04-22,,,Fix writer and text parser for too long alpn values.
CVE-2026-33611,,dns,,,PowerDNS Recursor,resolver,,,2026-04-22,,,Fix writer and text parser for too long alpn values.
CVE-2026-3591,2026-03-25,dns,,,BIND 9,both,9.20.21,2026-03-13,2026-03-13,-12,True,[9.20] [CVE-2026-3591] sec: usr: Fix a stack use-after-return flaw in SIG(0) handling code
CVE-2026-3592,2026-05-20,dns,,,BIND 9,both,,,2026-04-30,,,[v9_11] [CVE-2026-3592] sec: usr: Limit resolver server list size
CVE-2026-3593,2026-05-20,dns,,,BIND 9,both,9.21.22,2026-05-08,2026-05-05,-12,True,[CVE-2026-3593] sec: usr: Fix use-after-free in DNS-over-HTTPS when processing HTTP/2 SETTINGS frames
CVE-2026-40622,2026-05-20,dns,,,Unbound,resolver,1.26.0,2026-07-24,2026-05-20,65,False,- Unit test for CVE-2026-40622.
CVE-2026-40691,2026-07-22,dns,,,Unbound,resolver,1.25.2,2026-07-22,2026-07-22,0,False,"- Fix CVE-2026-40691, Packet of death for DNSCrypt over TCP. Thanks   to Qifan Zhang, Palo Alto Networks, for the report. In addition,   thanks to Tru"
CVE-2026-41292,2026-05-20,dns,,,Unbound,resolver,1.25.1,2026-05-20,2026-05-20,0,False,"- Fix CVE-2026-41292, Parsing a long list of incoming EDNS options   degrades performance. Thanks to GitHub user 'N0zoM1z0', also Qifan   Zhang from P"
CVE-2026-41637,2026-07-22,dns,,,Unbound,resolver,1.25.2,2026-07-22,2026-07-22,0,False,"- Fix CVE-2026-41637, Degradation of resolution service from   improperly accounted client-terminated DNS-over-QUIC queries. Thanks   to Qifan Zhang, "
CVE-2026-42534,2026-05-20,dns,,,Unbound,resolver,1.25.1,2026-05-20,2026-05-20,0,False,"- Fix CVE-2026-42534, Jostle logic bypass degrades resolution   performance. Thanks to Qifan Zhang, Palo Alto Networks, for the   report."
CVE-2026-42923,2026-05-20,dnssec,nsec3,RFC 5155,Unbound,resolver,1.25.1,2026-05-20,2026-05-20,0,False,"- Fix CVE-2026-42923, Degradation of service with unbounded NSEC3   hash calculations. Thanks to Qifan Zhang, Palo Alto Networks, for   the report."
CVE-2026-42944,2026-05-20,dns,,,Unbound,resolver,1.26.0,2026-07-24,2026-05-20,65,False,- Unit test for CVE-2026-42944.
CVE-2026-42955,2026-07-22,dns,,,Unbound,resolver,1.26.0,2026-07-24,2026-07-22,2,False,- Unit test for CVE-2026-42955.
CVE-2026-42959,2026-05-20,dnssec,validation,RFC 4035,Unbound,resolver,1.26.0,2026-07-24,2026-05-20,65,False,- Unit test for CVE-2026-42959.
CVE-2026-42960,2026-05-20,dns,,,Unbound,resolver,1.26.0,2026-07-24,2026-05-20,65,False,- Unit test for CVE-2026-42960.
CVE-2026-44390,2026-05-20,dns,,,Unbound,resolver,1.26.0,2026-07-24,2026-05-20,65,False,- Unit test for CVE-2026-44390.
CVE-2026-44608,2026-05-20,dns,,,Unbound,resolver,1.25.1,2026-05-20,2026-05-20,0,False,"- Fix CVE-2026-44608, Use after free and crash in RPZ code. Thanks   to Qifan Zhang, Palo Alto Networks, for the report."
CVE-2026-44621,2026-07-22,dns,,,Unbound,resolver,1.25.2,2026-07-22,2026-07-22,0,False,"- Fix CVE-2026-44621, Libunbound applications configured with   'unwanted-reply-threshold' could eventually be abruptly   terminated. Thanks to Qifan "
CVE-2026-44687,2026-07-22,dnssec,dnssec-other,RFC 4033,Unbound,resolver,1.26.0,2026-07-24,2026-07-22,2,False,- Unit test for CVE-2026-44687.
CVE-2026-44690,2026-07-22,dnssec,nsec,RFC 4034,Unbound,resolver,1.26.0,2026-07-24,2026-07-22,2,False,- Unit test for CVE-2026-44690.
CVE-2026-46582,2026-07-22,dnssec,nsec,RFC 4034,Unbound,resolver,1.26.0,2026-07-24,2026-07-22,2,False,- Unit test for CVE-2026-46582.
CVE-2026-49975,,dependency,,,PowerDNS Authoritative,authoritative,,,2026-07-02,,,Merge pull request #17669 from rgacogne/ddist19-h2o-2.2.6-pdns4
CVE-2026-49975,,dependency,,,PowerDNS Recursor,resolver,,,2026-07-02,,,Merge pull request #17669 from rgacogne/ddist19-h2o-2.2.6-pdns4
