project,version,released,month,in_corpus_span,changes_in_window,window_months,corpus_median_window
bind9,9.14.4,2019-07-09,2019-07,True,458,3,229
bind9,9.11.10,2019-08-13,2019-08,True,146,3,229
bind9,9.14.5,2019-08-13,2019-08,True,146,3,229
bind9,9.11.11,2019-09-09,2019-09,True,102,3,229
bind9,9.14.6,2019-09-09,2019-09,True,102,3,229
bind9,9.11.12,2019-10-02,2019-10,True,125,3,229
bind9,9.14.7,2019-10-02,2019-10,True,125,3,229
bind9,9.11.13,2019-11-06,2019-11,True,482,3,229
bind9,9.14.8,2019-11-06,2019-11,True,482,3,229
bind9,9.11.14,2019-12-12,2019-12,True,538,3,229
bind9,9.14.9,2019-12-12,2019-12,True,538,3,229
bind9,9.11.15,2020-01-16,2020-01,True,505,3,229
bind9,9.14.10,2020-01-16,2020-01,True,505,3,229
bind9,9.11.16,2020-02-12,2020-02,True,113,3,229
bind9,9.16.0,2020-02-12,2020-02,True,113,3,229
bind9,9.14.11,2020-02-13,2020-02,True,113,3,229
bind9,9.11.17,2020-03-11,2020-03,True,81,3,229
bind9,9.16.1,2020-03-11,2020-03,True,81,3,229
bind9,9.11.18,2020-04-09,2020-04,True,339,3,229
bind9,9.16.2,2020-04-09,2020-04,True,339,3,229
bind9,9.11.19,2020-05-06,2020-05,True,361,3,229
bind9,9.14.12,2020-05-06,2020-05,True,361,3,229
bind9,9.16.3,2020-05-06,2020-05,True,361,3,229
bind9,9.11.20,2020-06-10,2020-06,True,335,3,229
bind9,9.16.4,2020-06-10,2020-06,True,335,3,229
bind9,9.11.21,2020-07-03,2020-07,True,86,3,229
bind9,9.16.5,2020-07-03,2020-07,True,86,3,229
bind9,9.11.22,2020-08-06,2020-08,True,94,3,229
bind9,9.16.6,2020-08-10,2020-08,True,94,3,229
bind9,9.16.7,2020-09-04,2020-09,True,176,3,229
bind9,9.11.23,2020-09-07,2020-09,True,176,3,229
bind9,9.11.24,2020-10-13,2020-10,True,240,3,229
bind9,9.16.8,2020-10-13,2020-10,True,240,3,229
bind9,9.11.25,2020-11-16,2020-11,True,371,3,229
bind9,9.16.9,2020-11-16,2020-11,True,371,3,229
bind9,9.16.10,2020-12-07,2020-12,True,316,3,229
bind9,9.11.26,2020-12-08,2020-12,True,316,3,229
bind9,9.11.27,2021-01-11,2021-01,False,,3,229
bind9,9.16.11,2021-01-11,2021-01,False,,3,229
bind9,9.11.28,2021-02-04,2021-02,True,343,3,229
bind9,9.16.12,2021-02-04,2021-02,True,343,3,229
bind9,9.11.29,2021-03-09,2021-03,True,219,3,229
bind9,9.16.13,2021-03-11,2021-03,True,219,3,229
bind9,9.11.31,2021-04-19,2021-04,True,227,3,229
bind9,9.16.15,2021-04-19,2021-04,True,227,3,229
bind9,9.11.32,2021-05-12,2021-05,True,122,3,229
bind9,9.16.16,2021-05-12,2021-05,True,122,3,229
bind9,9.11.33,2021-06-08,2021-06,True,162,3,229
bind9,9.16.17,2021-06-08,2021-06,True,162,3,229
bind9,9.16.18,2021-06-18,2021-06,True,162,3,229
bind9,9.11.34,2021-07-09,2021-07,True,206,3,229
bind9,9.16.19,2021-07-09,2021-07,True,206,3,229
bind9,9.11.35,2021-08-10,2021-08,True,258,3,229
bind9,9.16.20,2021-08-10,2021-08,True,258,3,229
bind9,9.16.21,2021-09-07,2021-09,True,235,3,229
bind9,9.11.36,2021-10-11,2021-10,True,292,3,229
bind9,9.16.22,2021-10-13,2021-10,True,292,3,229
bind9,9.16.23,2021-11-05,2021-11,True,302,3,229
bind9,9.16.24,2021-12-07,2021-12,True,370,3,229
bind9,9.16.25,2022-01-12,2022-01,True,294,3,229
bind9,9.18.0,2022-01-24,2022-01,True,294,3,229
bind9,9.16.26,2022-02-04,2022-02,True,278,3,229
bind9,9.11.37,2022-03-07,2022-03,True,329,3,229
bind9,9.16.27,2022-03-07,2022-03,True,329,3,229
bind9,9.18.1,2022-03-07,2022-03,True,329,3,229
bind9,9.16.28,2022-04-11,2022-04,True,378,3,229
bind9,9.18.2,2022-04-11,2022-04,True,378,3,229
bind9,9.18.3,2022-05-09,2022-05,True,363,3,229
bind9,9.16.29,2022-05-10,2022-05,True,363,3,229
bind9,9.16.30,2022-06-02,2022-06,True,243,3,229
bind9,9.18.4,2022-06-02,2022-06,True,243,3,229
bind9,9.18.5,2022-07-07,2022-07,True,174,3,229
bind9,9.16.31,2022-07-11,2022-07,True,174,3,229
bind9,9.18.6,2022-08-04,2022-08,True,180,3,229
bind9,9.16.32,2022-08-05,2022-08,True,180,3,229
bind9,9.16.33,2022-09-08,2022-09,True,236,3,229
bind9,9.18.7,2022-09-08,2022-09,True,236,3,229
bind9,9.16.34,2022-10-10,2022-10,True,404,3,229
bind9,9.18.8,2022-10-10,2022-10,True,404,3,229
bind9,9.16.35,2022-11-07,2022-11,True,405,3,229
bind9,9.18.9,2022-11-07,2022-11,True,405,3,229
bind9,9.16.36,2022-12-12,2022-12,True,412,3,229
bind9,9.18.10,2022-12-12,2022-12,True,412,3,229
bind9,9.16.37,2023-01-12,2023-01,True,256,3,229
bind9,9.18.11,2023-01-12,2023-01,True,256,3,229
bind9,9.16.38,2023-02-03,2023-02,True,296,3,229
bind9,9.18.12,2023-02-03,2023-02,True,296,3,229
bind9,9.18.13,2023-03-03,2023-03,True,288,3,229
bind9,9.16.39,2023-03-06,2023-03,True,288,3,229
bind9,9.16.40,2023-04-11,2023-04,True,329,3,229
