n,rfc,basis,source,start,end,delta,level_before,level_after,share_before_pct,share_after_pct,months_after_rfc,nearest_validator_limit,nearest_cve,split_new_signings_at_most,split_rollovers_at_least,nearest_signer_release_what,nearest_signer_release_date,nearest_signer_release_lag_months,nearest_signer_release_detail,nearest_default_change_what,nearest_default_change_date,nearest_default_change_lag_months,nearest_default_change_detail,nearest_any_release_what,nearest_any_release_date,nearest_any_release_lag_months,nearest_cve_what,nearest_cve_date,nearest_cve_lag_months,nearest_default_change,nearest_validator_limit_what,nearest_validator_limit_date,nearest_validator_limit_lag_months,nearest_validator_limit_detail
8,RFC 5155,reverse,afrinic,2018-10,2018-10,83,5,88,1.938,24.044,127,,,,,BIND 9 9.7.0,2010-02-16,104,NSEC3 iterations default 100 -> 10,BIND 9 9.7.0,2010-02-16,104.0,NSEC3 iterations default 100 -> 10,Unbound 1.8.1,2018-10-01,0,CVE-2014-0591 (BIND 9),2014-01-14,57.0,,PowerDNS Rec 4.1.0,2017-12-04,10.0,reject zones with too many NSEC3 iterations
9,RFC 5155,reverse,arin,2017-05,2017-06,167,38,205,5.249,25.246,110,,,,,BIND 9 9.7.0,2010-02-16,87,NSEC3 iterations default 100 -> 10,BIND 9 9.7.0,2010-02-16,87.0,NSEC3 iterations default 100 -> 10,Knot Resolver 1.2.5,2017-04-05,1,CVE-2014-0591 (BIND 9),2014-01-14,40.0,,,,,
10,RFC 5155,reverse,arin,2018-06,2018-06,44,224,268,24.508,28.541,123,,,,,BIND 9 9.7.0,2010-02-16,100,NSEC3 iterations default 100 -> 10,BIND 9 9.7.0,2010-02-16,100.0,NSEC3 iterations default 100 -> 10,Unbound 1.7.2,2018-06-04,0,CVE-2014-0591 (BIND 9),2014-01-14,53.0,,PowerDNS Rec 4.1.0,2017-12-04,6.0,reject zones with too many NSEC3 iterations
11,RFC 5155,reverse,arin,2018-08,2018-08,39,268,307,28.36,30.792,125,,,,,BIND 9 9.7.0,2010-02-16,102,NSEC3 iterations default 100 -> 10,BIND 9 9.7.0,2010-02-16,102.0,NSEC3 iterations default 100 -> 10,Knot Resolver 2.4.1,2018-08-02,0,CVE-2014-0591 (BIND 9),2014-01-14,55.0,,PowerDNS Rec 4.1.0,2017-12-04,8.0,reject zones with too many NSEC3 iterations
12,RFC 5155,reverse,arin,2018-10,2018-10,32,308,340,30.893,32.819,127,,,,,BIND 9 9.7.0,2010-02-16,104,NSEC3 iterations default 100 -> 10,BIND 9 9.7.0,2010-02-16,104.0,NSEC3 iterations default 100 -> 10,Unbound 1.8.1,2018-10-01,0,CVE-2014-0591 (BIND 9),2014-01-14,57.0,,PowerDNS Rec 4.1.0,2017-12-04,10.0,reject zones with too many NSEC3 iterations
13,RFC 5155,reverse,arin,2020-11,2020-11,60,382,442,17.96,19.973,152,,,,,BIND 9 9.7.0,2010-02-16,129,NSEC3 iterations default 100 -> 10,BIND 9 9.7.0,2010-02-16,129.0,NSEC3 iterations default 100 -> 10,Knot DNS 3.0.2,2020-11-11,0,CVE-2014-0591 (BIND 9),2014-01-14,82.0,,PowerDNS Rec 4.1.0,2017-12-04,35.0,reject zones with too many NSEC3 iterations
14,RFC 5155,reverse,arin,2021-01,2021-01,78,442,520,19.973,22.356,154,,,,,BIND 9 9.7.0,2010-02-16,131,NSEC3 iterations default 100 -> 10,BIND 9 9.7.0,2010-02-16,131.0,NSEC3 iterations default 100 -> 10,BIND 9 9.11.27,2021-01-11,0,CVE-2014-0591 (BIND 9),2014-01-14,84.0,,PowerDNS Rec 4.1.0,2017-12-04,37.0,reject zones with too many NSEC3 iterations
15,RFC 5155,reverse,arin,2026-08,2026-08,63,372,435,6.221,7.155,221,,,,,BIND 9 9.7.0,2010-02-16,198,NSEC3 iterations default 100 -> 10,BIND 9 9.7.0,2010-02-16,198.0,NSEC3 iterations default 100 -> 10,PowerDNS Auth 4.9.17,2026-08-03,0,CVE-2014-0591 (BIND 9),2014-01-14,151.0,,Knot DNS 3.1.5,2021-12-20,56.0,config check on the default NSEC3 iteration count
16,RFC 5155,reverse,ripe,2011-10,2011-10,62,47,109,10.151,20.223,43,,,,,BIND 9 9.7.0,2010-02-16,20,NSEC3 iterations default 100 -> 10,BIND 9 9.7.0,2010-02-16,20.0,NSEC3 iterations default 100 -> 10,OpenDNSSEC 1.3.1,2011-09-07,1,CVE-2010-0097 (BIND 9),2010-01-22,21.0,,,,,
17,RFC 5155,reverse,ripe,2015-05,2015-05,41,139,180,8.623,10.423,86,,,,,BIND 9 9.7.0,2010-02-16,63,NSEC3 iterations default 100 -> 10,BIND 9 9.7.0,2010-02-16,63.0,NSEC3 iterations default 100 -> 10,PowerDNS Auth 3.3.2,2015-05-01,0,CVE-2014-0591 (BIND 9),2014-01-14,16.0,,,,,
1,RFC 9276,forward,ch,2021-10,2021-11,3366,3618,252,0.697,0.038,-10,,,,,BIND 9 9.7.0,2010-02-16,140,NSEC3 iterations default 100 -> 10,BIND 9 9.7.0,2010-02-16,140.0,NSEC3 iterations default 100 -> 10,PowerDNS Rec 4.4.6,2021-10-06,0,CVE-2021-40083 (Knot Resolver),2021-08-25,2.0,,Unbound 1.13.2,2021-08-05,2.0,"NSEC3 max iterations lowered to 150, matching other vendors"
2,RFC 9276,forward,nu,2021-10,2021-11,12035,12145,110,5.645,0.054,-10,,,,,BIND 9 9.7.0,2010-02-16,140,NSEC3 iterations default 100 -> 10,BIND 9 9.7.0,2010-02-16,140.0,NSEC3 iterations default 100 -> 10,PowerDNS Rec 4.4.6,2021-10-06,0,CVE-2021-40083 (Knot Resolver),2021-08-25,2.0,,Unbound 1.13.2,2021-08-05,2.0,"NSEC3 max iterations lowered to 150, matching other vendors"
3,RFC 9276,forward,se,2021-10,2021-11,1388,1476,88,0.11,0.007,-10,,,,,BIND 9 9.7.0,2010-02-16,140,NSEC3 iterations default 100 -> 10,BIND 9 9.7.0,2010-02-16,140.0,NSEC3 iterations default 100 -> 10,PowerDNS Rec 4.4.6,2021-10-06,0,CVE-2021-40083 (Knot Resolver),2021-08-25,2.0,,Unbound 1.13.2,2021-08-05,2.0,"NSEC3 max iterations lowered to 150, matching other vendors"
