n,rfc,basis,source,start,end,delta,level_before,level_after,share_before_pct,share_after_pct,months_after_rfc,nearest_validator_limit,nearest_cve,split_new_signings_at_most,split_rollovers_at_least,nearest_signer_release_what,nearest_signer_release_date,nearest_signer_release_lag_months,nearest_signer_release_detail,nearest_default_change_what,nearest_default_change_date,nearest_default_change_lag_months,nearest_default_change_detail,nearest_any_release_what,nearest_any_release_date,nearest_any_release_lag_months,nearest_cve_what,nearest_cve_date,nearest_cve_lag_months,nearest_default_change,nearest_validator_limit_what,nearest_validator_limit_date,nearest_validator_limit_lag_months,nearest_validator_limit_detail
7,RFC 6605,forward,nu,2019-03,2019-03,2196,21548,23744,18.467,20.076,83,,,1586.0,610.0,PowerDNS Auth 4.0.0,2016-07-08,32,default ZSK algorithm -> ECDSA P-256,PowerDNS Auth 4.0.0,2016-07-08,32.0,default ZSK algorithm -> ECDSA P-256,Unbound 1.9.1,2019-03-05,0,CVE-2017-15094 (PowerDNS Rec),2018-01-23,14.0,,,,,
8,RFC 6605,forward,nu,2019-05,2019-05,6480,24071,30551,20.229,25.453,85,,,1037.0,5443.0,PowerDNS Auth 4.0.0,2016-07-08,34,default ZSK algorithm -> ECDSA P-256,PowerDNS Auth 4.0.0,2016-07-08,34.0,default ZSK algorithm -> ECDSA P-256,BIND 9 9.11.7,2019-05-10,0,CVE-2017-15094 (PowerDNS Rec),2018-01-23,16.0,,,,,
9,RFC 6605,forward,nu,2019-09,2019-09,4885,30952,35837,25.7,28.708,89,,,4398.0,487.0,PowerDNS Auth 4.0.0,2016-07-08,38,default ZSK algorithm -> ECDSA P-256,PowerDNS Auth 4.0.0,2016-07-08,38.0,default ZSK algorithm -> ECDSA P-256,BIND 9 9.11.11,2019-09-09,0,CVE-2017-15094 (PowerDNS Rec),2018-01-23,20.0,,,,,
10,RFC 6605,forward,nu,2019-11,2019-11,9697,36435,46132,28.917,36.604,91,,,33.0,9664.0,PowerDNS Auth 4.0.0,2016-07-08,40,default ZSK algorithm -> ECDSA P-256,PowerDNS Auth 4.0.0,2016-07-08,40.0,default ZSK algorithm -> ECDSA P-256,OpenDNSSEC 2.1.5,2019-11-05,0,CVE-2017-15094 (PowerDNS Rec),2018-01-23,22.0,,,,,
11,RFC 6605,forward,nu,2021-08,2021-08,6089,59744,65833,44.166,48.705,112,,,0.0,6089.0,BIND 9 9.16.0,2020-02-12,18,built-in dnssec-policy 'default' signs with one ECDSAP256SHA256 CSK,BIND 9 9.16.0,2020-02-12,18.0,built-in dnssec-policy 'default' signs with one ECDSAP256SHA256 CSK,Knot DNS 3.1.0,2021-08-01,0,CVE-2017-15094 (PowerDNS Rec),2018-01-23,43.0,,,,,
12,RFC 6605,forward,nu,2022-01,2022-01,6717,64939,71656,48.736,51.509,117,,,5867.0,850.0,BIND 9 9.16.0,2020-02-12,23,built-in dnssec-policy 'default' signs with one ECDSAP256SHA256 CSK,BIND 9 9.16.0,2020-02-12,23.0,built-in dnssec-policy 'default' signs with one ECDSAP256SHA256 CSK,Knot Resolver 5.4.4,2022-01-05,0,CVE-2017-15094 (PowerDNS Rec),2018-01-23,48.0,,,,,
13,RFC 6605,forward,se,2016-10,2016-11,17193,258,17451,0.037,2.465,54,,,6445.0,10748.0,PowerDNS Auth 4.0.0,2016-07-08,3,default ZSK algorithm -> ECDSA P-256,PowerDNS Auth 4.0.0,2016-07-08,3.0,default ZSK algorithm -> ECDSA P-256,Knot DNS 2.3.1,2016-10-10,0,,,,,,,,
14,RFC 6605,forward,se,2017-04,2017-04,16925,17945,34870,2.477,4.69,60,,,16925.0,0.0,PowerDNS Auth 4.0.0,2016-07-08,9,default ZSK algorithm -> ECDSA P-256,PowerDNS Auth 4.0.0,2016-07-08,9.0,default ZSK algorithm -> ECDSA P-256,Knot Resolver 1.2.5,2017-04-05,0,,,,,,,,
15,RFC 6605,forward,se,2017-11,2017-11,3476,33821,37297,4.586,4.335,67,,,3476.0,0.0,PowerDNS Auth 4.0.0,2016-07-08,16,default ZSK algorithm -> ECDSA P-256,PowerDNS Auth 4.0.0,2016-07-08,16.0,default ZSK algorithm -> ECDSA P-256,Knot DNS 2.5.6,2017-11-02,0,,,,,,,,
16,RFC 6605,forward,se,2019-01,2019-01,119500,34490,153990,4.482,20.668,81,,,0.0,119500.0,PowerDNS Auth 4.0.0,2016-07-08,30,default ZSK algorithm -> ECDSA P-256,PowerDNS Auth 4.0.0,2016-07-08,30.0,default ZSK algorithm -> ECDSA P-256,PowerDNS Auth 4.1.6,2019-01-04,0,CVE-2017-15094 (PowerDNS Rec),2018-01-23,12.0,,,,,
17,RFC 6605,forward,se,2019-06,2019-07,217437,185334,402771,24.152,52.567,86,,,0.0,217437.0,PowerDNS Auth 4.0.0,2016-07-08,35,default ZSK algorithm -> ECDSA P-256,PowerDNS Auth 4.0.0,2016-07-08,35.0,default ZSK algorithm -> ECDSA P-256,BIND 9 9.11.8,2019-06-04,0,CVE-2017-15094 (PowerDNS Rec),2018-01-23,17.0,,,,,
18,RFC 6605,reverse,afrinic,2018-12,2018-12,40,0,40,0.0,9.756,80,,,,,PowerDNS Auth 4.0.0,2016-07-08,29,default ZSK algorithm -> ECDSA P-256,PowerDNS Auth 4.0.0,2016-07-08,29.0,default ZSK algorithm -> ECDSA P-256,Unbound 1.8.3,2018-12-04,0,CVE-2017-15094 (PowerDNS Rec),2018-01-23,11.0,,,,,
19,RFC 6605,reverse,afrinic,2021-01,2021-01,53,69,122,16.235,25.47,105,,,,,BIND 9 9.16.0,2020-02-12,11,built-in dnssec-policy 'default' signs with one ECDSAP256SHA256 CSK,BIND 9 9.16.0,2020-02-12,11.0,built-in dnssec-policy 'default' signs with one ECDSAP256SHA256 CSK,BIND 9 9.11.27,2021-01-11,0,CVE-2017-15094 (PowerDNS Rec),2018-01-23,36.0,,,,,
20,RFC 6605,reverse,afrinic,2026-06,2026-06,52,250,302,40.128,48.32,170,,,,,BIND 9 9.16.0,2020-02-12,76,built-in dnssec-policy 'default' signs with one ECDSAP256SHA256 CSK,BIND 9 9.16.0,2020-02-12,76.0,built-in dnssec-policy 'default' signs with one ECDSAP256SHA256 CSK,PowerDNS Rec 5.2.10,2026-06-01,0,CVE-2022-38177 (BIND 9),2022-09-21,45.0,,,,,
21,RFC 6605,reverse,apnic,2017-08,2017-08,155,2,157,0.128,9.128,64,,,,,PowerDNS Auth 4.0.0,2016-07-08,13,default ZSK algorithm -> ECDSA P-256,PowerDNS Auth 4.0.0,2016-07-08,13.0,default ZSK algorithm -> ECDSA P-256,OpenDNSSEC 2.1.2,2017-08-03,0,,,,,,,,
22,RFC 6605,reverse,apnic,2018-05,2018-05,119,204,323,12.0,17.757,73,,,,,PowerDNS Auth 4.0.0,2016-07-08,22,default ZSK algorithm -> ECDSA P-256,PowerDNS Auth 4.0.0,2016-07-08,22.0,default ZSK algorithm -> ECDSA P-256,NSD 4.1.21,2018-05-07,0,CVE-2017-15094 (PowerDNS Rec),2018-01-23,4.0,,,,,
23,RFC 6605,reverse,apnic,2018-12,2018-12,100,336,436,16.123,19.963,80,,,,,PowerDNS Auth 4.0.0,2016-07-08,29,default ZSK algorithm -> ECDSA P-256,PowerDNS Auth 4.0.0,2016-07-08,29.0,default ZSK algorithm -> ECDSA P-256,Unbound 1.8.3,2018-12-04,0,CVE-2017-15094 (PowerDNS Rec),2018-01-23,11.0,,,,,
24,RFC 6605,reverse,arin,2018-12,2018-12,55,82,137,7.714,12.243,80,,,,,PowerDNS Auth 4.0.0,2016-07-08,29,default ZSK algorithm -> ECDSA P-256,PowerDNS Auth 4.0.0,2016-07-08,29.0,default ZSK algorithm -> ECDSA P-256,Unbound 1.8.3,2018-12-04,0,CVE-2017-15094 (PowerDNS Rec),2018-01-23,11.0,,,,,
25,RFC 6605,reverse,arin,2019-02,2019-02,45,137,182,12.199,15.333,82,,,,,PowerDNS Auth 4.0.0,2016-07-08,31,default ZSK algorithm -> ECDSA P-256,PowerDNS Auth 4.0.0,2016-07-08,31.0,default ZSK algorithm -> ECDSA P-256,BIND 9 9.11.6,2019-02-27,0,CVE-2017-15094 (PowerDNS Rec),2018-01-23,13.0,,,,,
26,RFC 6605,reverse,arin,2019-05,2019-06,172,187,359,15.416,21.51,85,,,,,PowerDNS Auth 4.0.0,2016-07-08,34,default ZSK algorithm -> ECDSA P-256,PowerDNS Auth 4.0.0,2016-07-08,34.0,default ZSK algorithm -> ECDSA P-256,BIND 9 9.11.7,2019-05-10,0,CVE-2017-15094 (PowerDNS Rec),2018-01-23,16.0,,,,,
27,RFC 6605,reverse,arin,2019-09,2019-09,43,373,416,21.724,23.69,89,,,,,PowerDNS Auth 4.0.0,2016-07-08,38,default ZSK algorithm -> ECDSA P-256,PowerDNS Auth 4.0.0,2016-07-08,38.0,default ZSK algorithm -> ECDSA P-256,BIND 9 9.11.11,2019-09-09,0,CVE-2017-15094 (PowerDNS Rec),2018-01-23,20.0,,,,,
28,RFC 6605,reverse,arin,2020-10,2020-10,84,643,727,31.551,34.18,102,,,,,BIND 9 9.16.0,2020-02-12,8,built-in dnssec-policy 'default' signs with one ECDSAP256SHA256 CSK,BIND 9 9.16.0,2020-02-12,8.0,built-in dnssec-policy 'default' signs with one ECDSAP256SHA256 CSK,Unbound 1.12.0,2020-10-01,0,CVE-2017-15094 (PowerDNS Rec),2018-01-23,33.0,,,,,
