month,source,kind,from_alg,to_alg,n_delegations,n_blocks,largest_block_share,hhi,level
2024-08,ripe,sign,,13,1,1,1.0,1.0,single delegation
2024-08,ripe,unsign,13,,1,1,1.0,1.0,single delegation
2024-09,afrinic,unsign,13,,4,3,0.5,0.375,concentrated (one block is most of it)
2024-09,apnic,sign,,8,2,1,1.0,1.0,one block
2024-09,apnic,unsign,8,,1,1,1.0,1.0,single delegation
2024-09,arin,sign,,13,32,17,0.125,0.082,diffuse (many blocks)
2024-09,arin,sign,,14,2,1,1.0,1.0,one block
2024-09,arin,sign,,7,5,2,0.8,0.68,concentrated (one block is most of it)
2024-09,arin,sign,,8,15,8,0.267,0.1556,diffuse (many blocks)
2024-09,arin,unsign,13,,47,19,0.106,0.0702,diffuse (many blocks)
2024-09,arin,unsign,5,,4,1,1.0,1.0,one block
2024-09,arin,unsign,7,,2,2,0.5,0.5,concentrated (one block is most of it)
2024-09,arin,unsign,8,,24,9,0.167,0.1389,diffuse (many blocks)
2024-09,lacnic,sign,,13,13,6,0.308,0.2308,diffuse (many blocks)
2024-09,lacnic,sign,,7,4,1,1.0,1.0,one block
2024-09,lacnic,sign,,8,25,13,0.16,0.088,diffuse (many blocks)
2024-09,lacnic,unsign,13,,37,13,0.189,0.1074,diffuse (many blocks)
2024-09,lacnic,unsign,5,,4,1,1.0,1.0,one block
2024-09,lacnic,unsign,8,,12,6,0.333,0.25,diffuse (many blocks)
2024-09,ripe,sign,,13,3,3,0.333,0.3333,diffuse (many blocks)
2024-09,ripe,sign,,14,2,1,1.0,1.0,one block
2024-09,ripe,unsign,13,,4,4,0.25,0.25,diffuse (many blocks)
2024-10,afrinic,sign,,13,1,1,1.0,1.0,single delegation
2024-10,afrinic,sign,,5,1,1,1.0,1.0,single delegation
2024-10,apnic,sign,,13,4,4,0.25,0.25,diffuse (many blocks)
2024-10,arin,rollover,"10,13","13,15",1,1,1.0,1.0,single delegation
2024-10,arin,rollover,8,13,3,2,0.667,0.5556,concentrated (one block is most of it)
2024-10,arin,rollover,"8,14",14,1,1,1.0,1.0,single delegation
2024-10,arin,sign,,13,90,32,0.344,0.1393,diffuse (many blocks)
2024-10,arin,sign,,15,1,1,1.0,1.0,single delegation
2024-10,arin,sign,,7,3,1,1.0,1.0,one block
2024-10,arin,sign,,8,36,13,0.194,0.1096,diffuse (many blocks)
2024-10,arin,unsign,13,,11,6,0.364,0.2397,diffuse (many blocks)
2024-10,arin,unsign,8,,7,4,0.571,0.3878,concentrated (one block is most of it)
2024-10,lacnic,sign,,13,29,11,0.241,0.1367,diffuse (many blocks)
2024-10,lacnic,sign,,"7,14",4,1,1.0,1.0,one block
2024-10,lacnic,sign,,8,28,10,0.143,0.1276,diffuse (many blocks)
2024-10,lacnic,unsign,13,,5,2,0.8,0.68,concentrated (one block is most of it)
2024-10,lacnic,unsign,8,,15,6,0.267,0.2089,diffuse (many blocks)
2024-10,ripe,rollover,"10,13","13,15",1,1,1.0,1.0,single delegation
2024-10,ripe,sign,,13,7,4,0.571,0.3878,concentrated (one block is most of it)
2024-10,ripe,unsign,13,,1,1,1.0,1.0,single delegation
2024-11,apnic,rollover,8,13,3,1,1.0,1.0,one block
2024-11,apnic,sign,,13,11,4,0.727,0.5537,concentrated (one block is most of it)
2024-11,apnic,sign,,8,3,2,0.667,0.5556,concentrated (one block is most of it)
2024-11,arin,rollover,8,13,55,17,0.582,0.358,concentrated (one block is most of it)
2024-11,arin,sign,,13,80,37,0.1,0.0422,diffuse (many blocks)
2024-11,arin,sign,,14,3,1,1.0,1.0,one block
2024-11,arin,sign,,16,1,1,1.0,1.0,single delegation
2024-11,arin,sign,,8,12,8,0.333,0.1806,diffuse (many blocks)
2024-11,arin,unsign,13,,8,6,0.25,0.1875,diffuse (many blocks)
2024-11,arin,unsign,"13,14",,1,1,1.0,1.0,single delegation
2024-11,arin,unsign,8,,7,4,0.571,0.3878,concentrated (one block is most of it)
2024-11,lacnic,sign,,13,50,13,0.16,0.0888,diffuse (many blocks)
2024-11,lacnic,sign,,8,12,5,0.333,0.2639,diffuse (many blocks)
2024-11,lacnic,unsign,13,,5,2,0.8,0.68,concentrated (one block is most of it)
2024-11,lacnic,unsign,"7,14",,4,1,1.0,1.0,one block
2024-11,lacnic,unsign,8,,3,3,0.333,0.3333,diffuse (many blocks)
2024-11,ripe,sign,,13,2,2,0.5,0.5,concentrated (one block is most of it)
2024-11,ripe,sign,,14,3,1,1.0,1.0,one block
2024-11,ripe,unsign,13,,2,1,1.0,1.0,one block
2024-12,apnic,sign,,13,10,6,0.4,0.24,diffuse (many blocks)
2024-12,apnic,unsign,13,,9,6,0.222,0.1852,diffuse (many blocks)
2024-12,arin,rollover,10,13,1,1,1.0,1.0,single delegation
2024-12,arin,rollover,10,7,1,1,1.0,1.0,single delegation
2024-12,arin,rollover,7,13,3,1,1.0,1.0,one block
2024-12,arin,rollover,8,"8,15",2,1,1.0,1.0,one block
2024-12,arin,sign,,13,101,27,0.317,0.1544,diffuse (many blocks)
2024-12,arin,sign,,"7,8",15,1,1.0,1.0,one block
2024-12,arin,sign,,8,14,5,0.286,0.2551,diffuse (many blocks)
2024-12,arin,unsign,13,,9,6,0.444,0.2593,diffuse (many blocks)
2024-12,arin,unsign,14,,1,1,1.0,1.0,single delegation
2024-12,arin,unsign,5,,1,1,1.0,1.0,single delegation
2024-12,arin,unsign,7,,2,2,0.5,0.5,concentrated (one block is most of it)
2024-12,arin,unsign,"7,8",,1,1,1.0,1.0,single delegation
2024-12,arin,unsign,8,,51,10,0.608,0.3925,concentrated (one block is most of it)
2024-12,lacnic,sign,,13,9,3,0.444,0.4074,diffuse (many blocks)
2024-12,lacnic,sign,,8,4,4,0.25,0.25,diffuse (many blocks)
2024-12,lacnic,unsign,13,,4,1,1.0,1.0,one block
2024-12,lacnic,unsign,8,,12,3,0.333,0.3333,diffuse (many blocks)
2024-12,ripe,rollover,10,13,1,1,1.0,1.0,single delegation
2024-12,ripe,rollover,10,7,1,1,1.0,1.0,single delegation
2024-12,ripe,sign,,13,2,2,0.5,0.5,concentrated (one block is most of it)
2025-01,afrinic,sign,,13,7,4,0.429,0.3061,diffuse (many blocks)
2025-01,afrinic,unsign,13,,2,1,1.0,1.0,one block
2025-01,arin,rollover,13,"13,15",1,1,1.0,1.0,single delegation
2025-01,arin,rollover,13,15,3,1,1.0,1.0,one block
2025-01,arin,rollover,7,13,1,1,1.0,1.0,single delegation
2025-01,arin,rollover,8,13,2,2,0.5,0.5,concentrated (one block is most of it)
2025-01,arin,rollover,"8,15",13,2,1,1.0,1.0,one block
2025-01,arin,sign,,13,84,32,0.19,0.0737,diffuse (many blocks)
2025-01,arin,sign,,8,19,9,0.211,0.1579,diffuse (many blocks)
2025-01,arin,unsign,13,,25,10,0.16,0.1296,diffuse (many blocks)
2025-01,arin,unsign,7,,7,4,0.571,0.3878,concentrated (one block is most of it)
2025-01,arin,unsign,"7,10",,1,1,1.0,1.0,single delegation
2025-01,arin,unsign,8,,8,4,0.5,0.3438,concentrated (one block is most of it)
2025-01,lacnic,sign,,13,25,8,0.16,0.1424,diffuse (many blocks)
2025-01,lacnic,sign,,8,9,3,0.444,0.4074,diffuse (many blocks)
2025-01,lacnic,unsign,13,,16,5,0.25,0.2266,diffuse (many blocks)
2025-01,lacnic,unsign,7,,4,1,1.0,1.0,one block
2025-01,lacnic,unsign,8,,10,4,0.3,0.26,diffuse (many blocks)
2025-01,ripe,sign,,13,2,2,0.5,0.5,concentrated (one block is most of it)
2025-01,ripe,unsign,7,,1,1,1.0,1.0,single delegation
2025-01,ripe,unsign,8,,4,1,1.0,1.0,one block
2025-02,afrinic,sign,,13,3,1,1.0,1.0,one block
2025-02,arin,sign,,13,61,27,0.066,0.0519,diffuse (many blocks)
2025-02,arin,sign,,14,1,1,1.0,1.0,single delegation
2025-02,arin,sign,,15,4,1,1.0,1.0,one block
2025-02,arin,sign,,7,1,1,1.0,1.0,single delegation
2025-02,arin,sign,,8,21,7,0.476,0.288,diffuse (many blocks)
2025-02,arin,unsign,13,,17,8,0.235,0.1834,diffuse (many blocks)
2025-02,arin,unsign,7,,3,3,0.333,0.3333,diffuse (many blocks)
2025-02,arin,unsign,8,,6,3,0.667,0.5,concentrated (one block is most of it)
2025-02,lacnic,sign,,13,33,9,0.121,0.1185,diffuse (many blocks)
2025-02,lacnic,sign,,8,1,1,1.0,1.0,single delegation
2025-02,lacnic,unsign,13,,12,3,0.333,0.3333,diffuse (many blocks)
2025-02,lacnic,unsign,7,,3,1,1.0,1.0,one block
2025-02,lacnic,unsign,8,,10,5,0.4,0.26,diffuse (many blocks)
2025-02,ripe,sign,,13,6,6,0.167,0.1667,diffuse (many blocks)
2025-02,ripe,sign,,14,1,1,1.0,1.0,single delegation
2025-02,ripe,sign,,8,1,1,1.0,1.0,single delegation
2025-02,ripe,unsign,7,,1,1,1.0,1.0,single delegation
2025-03,afrinic,sign,,8,1,1,1.0,1.0,single delegation
2025-03,arin,rollover,"13,15",15,1,1,1.0,1.0,single delegation
2025-03,arin,rollover,8,13,3,1,1.0,1.0,one block
2025-03,arin,sign,,13,103,30,0.311,0.1407,diffuse (many blocks)
2025-03,arin,sign,,15,3,2,0.667,0.5556,concentrated (one block is most of it)
2025-03,arin,sign,,7,1,1,1.0,1.0,single delegation
2025-03,arin,sign,,8,31,9,0.516,0.3091,concentrated (one block is most of it)
2025-03,arin,unsign,13,,14,6,0.286,0.2245,diffuse (many blocks)
2025-03,arin,unsign,7,,2,1,1.0,1.0,one block
2025-03,arin,unsign,"7,8,13",,1,1,1.0,1.0,single delegation
2025-03,arin,unsign,8,,15,5,0.267,0.2356,diffuse (many blocks)
2025-03,lacnic,sign,,13,12,3,0.333,0.3333,diffuse (many blocks)
2025-03,lacnic,sign,,7,3,1,1.0,1.0,one block
2025-03,lacnic,sign,,8,16,5,0.25,0.2266,diffuse (many blocks)
2025-03,lacnic,unsign,13,,13,5,0.308,0.2544,diffuse (many blocks)
2025-03,lacnic,unsign,5,,1,1,1.0,1.0,single delegation
2025-03,lacnic,unsign,7,,1,1,1.0,1.0,single delegation
2025-03,lacnic,unsign,8,,12,4,0.333,0.2917,diffuse (many blocks)
2025-03,ripe,sign,,13,4,4,0.25,0.25,diffuse (many blocks)
2025-03,ripe,sign,,8,1,1,1.0,1.0,single delegation
2025-04,arin,sign,,13,62,28,0.258,0.0952,diffuse (many blocks)
2025-04,arin,sign,,7,2,1,1.0,1.0,one block
2025-04,arin,sign,,8,22,9,0.182,0.1488,diffuse (many blocks)
2025-04,arin,unsign,13,,4,4,0.25,0.25,diffuse (many blocks)
2025-04,arin,unsign,5,,8,3,0.5,0.4062,concentrated (one block is most of it)
2025-04,arin,unsign,"7,8",,2,1,1.0,1.0,one block
2025-04,arin,unsign,8,,14,7,0.286,0.2041,diffuse (many blocks)
2025-04,lacnic,sign,,13,23,8,0.174,0.1456,diffuse (many blocks)
2025-04,lacnic,sign,,8,14,5,0.286,0.2347,diffuse (many blocks)
2025-04,lacnic,unsign,13,,15,5,0.267,0.2356,diffuse (many blocks)
2025-04,lacnic,unsign,5,,6,2,0.667,0.5556,concentrated (one block is most of it)
2025-04,lacnic,unsign,7,,1,1,1.0,1.0,single delegation
2025-04,lacnic,unsign,8,,8,3,0.5,0.4062,concentrated (one block is most of it)
2025-04,ripe,sign,,13,9,5,0.444,0.284,diffuse (many blocks)
2025-04,ripe,sign,,8,5,2,0.8,0.68,concentrated (one block is most of it)
2025-05,afrinic,sign,,13,3,1,1.0,1.0,one block
2025-05,afrinic,unsign,8,,1,1,1.0,1.0,single delegation
2025-05,arin,rollover,13,8,2,2,0.5,0.5,concentrated (one block is most of it)
2025-05,arin,rollover,8,13,7,2,0.571,0.5102,concentrated (one block is most of it)
2025-05,arin,sign,,13,64,32,0.25,0.0889,diffuse (many blocks)
2025-05,arin,sign,,8,17,6,0.235,0.2042,diffuse (many blocks)
2025-05,arin,unsign,13,,9,6,0.444,0.2593,diffuse (many blocks)
2025-05,arin,unsign,8,,10,7,0.4,0.22,diffuse (many blocks)
2025-05,lacnic,sign,,13,19,7,0.211,0.1745,diffuse (many blocks)
2025-05,lacnic,sign,,7,2,1,1.0,1.0,one block
2025-05,lacnic,sign,,8,6,3,0.667,0.5,concentrated (one block is most of it)
2025-05,lacnic,unsign,13,,12,5,0.333,0.2639,diffuse (many blocks)
2025-05,lacnic,unsign,8,,6,3,0.667,0.5,concentrated (one block is most of it)
2025-05,ripe,rollover,8,13,4,1,1.0,1.0,one block
2025-05,ripe,sign,,13,5,5,0.2,0.2,diffuse (many blocks)
2025-05,ripe,unsign,13,,1,1,1.0,1.0,single delegation
2025-05,ripe,unsign,8,,1,1,1.0,1.0,single delegation
2025-06,afrinic,sign,,13,1,1,1.0,1.0,single delegation
2025-06,afrinic,sign,,8,1,1,1.0,1.0,single delegation
2025-06,arin,rollover,10,13,1,1,1.0,1.0,single delegation
2025-06,arin,rollover,13,"13,15",1,1,1.0,1.0,single delegation
2025-06,arin,rollover,13,15,1,1,1.0,1.0,single delegation
2025-06,arin,sign,,13,28,16,0.143,0.0918,diffuse (many blocks)
2025-06,arin,sign,,8,11,5,0.364,0.2893,diffuse (many blocks)
2025-06,arin,unsign,13,,15,8,0.267,0.1644,diffuse (many blocks)
2025-06,arin,unsign,8,,17,5,0.235,0.2249,diffuse (many blocks)
2025-06,lacnic,sign,,13,20,8,0.2,0.17,diffuse (many blocks)
2025-06,lacnic,sign,,8,12,5,0.333,0.2639,diffuse (many blocks)
2025-06,lacnic,unsign,13,,13,6,0.308,0.2071,diffuse (many blocks)
2025-06,lacnic,unsign,8,,9,3,0.444,0.4074,diffuse (many blocks)
2025-06,ripe,rollover,10,13,1,1,1.0,1.0,single delegation
2025-06,ripe,rollover,13,"13,15",1,1,1.0,1.0,single delegation
2025-06,ripe,rollover,13,15,1,1,1.0,1.0,single delegation
2025-06,ripe,sign,,13,5,2,0.8,0.68,concentrated (one block is most of it)
2025-06,ripe,sign,,14,1,1,1.0,1.0,single delegation
2025-06,ripe,sign,,8,1,1,1.0,1.0,single delegation
2025-07,afrinic,unsign,13,,4,2,0.5,0.5,concentrated (one block is most of it)
2025-07,arin,rollover,5,13,2,2,0.5,0.5,concentrated (one block is most of it)
2025-07,arin,sign,,13,61,23,0.262,0.1045,diffuse (many blocks)
2025-07,arin,sign,,7,32,1,1.0,1.0,one block
2025-07,arin,sign,,8,12,6,0.333,0.25,diffuse (many blocks)
2025-07,arin,unsign,13,,9,9,0.111,0.1111,diffuse (many blocks)
2025-07,arin,unsign,8,,3,3,0.333,0.3333,diffuse (many blocks)
2025-07,lacnic,sign,,13,21,6,0.19,0.1837,diffuse (many blocks)
2025-07,lacnic,sign,,8,4,1,1.0,1.0,one block
2025-07,lacnic,unsign,13,,14,9,0.214,0.1327,diffuse (many blocks)
2025-07,lacnic,unsign,7,,1,1,1.0,1.0,single delegation
2025-07,lacnic,unsign,8,,1,1,1.0,1.0,single delegation
2025-07,ripe,sign,,13,8,2,0.5,0.5,concentrated (one block is most of it)
2025-07,ripe,unsign,13,,2,2,0.5,0.5,concentrated (one block is most of it)
2025-08,afrinic,rollover,8,13,1,1,1.0,1.0,single delegation
2025-08,arin,rollover,14,15,1,1,1.0,1.0,single delegation
2025-08,arin,rollover,7,13,8,1,1.0,1.0,one block
2025-08,arin,rollover,7,"7,13",1,1,1.0,1.0,single delegation
2025-08,arin,rollover,8,13,28,11,0.607,0.3852,concentrated (one block is most of it)
2025-08,arin,sign,,13,98,33,0.388,0.1708,diffuse (many blocks)
2025-08,arin,sign,,"7,13",1,1,1.0,1.0,single delegation
2025-08,arin,sign,,8,11,5,0.364,0.2893,diffuse (many blocks)
2025-08,arin,unsign,13,,33,18,0.121,0.0854,diffuse (many blocks)
2025-08,arin,unsign,8,,9,4,0.444,0.3333,diffuse (many blocks)
2025-08,lacnic,sign,,13,20,7,0.3,0.19,diffuse (many blocks)
2025-08,lacnic,sign,,7,1,1,1.0,1.0,single delegation
2025-08,lacnic,sign,,8,10,4,0.4,0.34,diffuse (many blocks)
2025-08,lacnic,unsign,13,,17,5,0.235,0.2249,diffuse (many blocks)
2025-08,lacnic,unsign,8,,7,2,0.571,0.5102,concentrated (one block is most of it)
2025-08,ripe,rollover,14,15,1,1,1.0,1.0,single delegation
2025-08,ripe,sign,,13,9,5,0.444,0.284,diffuse (many blocks)
2025-09,afrinic,sign,,13,3,2,0.667,0.5556,concentrated (one block is most of it)
2025-09,arin,rollover,5,13,1,1,1.0,1.0,single delegation
2025-09,arin,rollover,7,13,2,2,0.5,0.5,concentrated (one block is most of it)
2025-09,arin,rollover,"7,13",13,1,1,1.0,1.0,single delegation
2025-09,arin,sign,,13,64,33,0.125,0.0513,diffuse (many blocks)
2025-09,arin,sign,,8,3,1,1.0,1.0,one block
2025-09,arin,unsign,13,,14,9,0.286,0.1633,diffuse (many blocks)
2025-09,arin,unsign,5,,1,1,1.0,1.0,single delegation
2025-09,arin,unsign,8,,13,5,0.308,0.2544,diffuse (many blocks)
2025-09,lacnic,rollover,5,13,1,1,1.0,1.0,single delegation
2025-09,lacnic,sign,,13,17,5,0.235,0.2249,diffuse (many blocks)
2025-09,lacnic,sign,,8,3,1,1.0,1.0,one block
2025-09,lacnic,unsign,13,,4,1,1.0,1.0,one block
2025-09,lacnic,unsign,8,,11,4,0.364,0.3058,diffuse (many blocks)
2025-09,ripe,sign,,13,5,4,0.4,0.28,diffuse (many blocks)
2025-09,ripe,unsign,13,,1,1,1.0,1.0,single delegation
2025-09,ripe,unsign,14,,1,1,1.0,1.0,single delegation
2025-09,ripe,unsign,8,,3,1,1.0,1.0,one block
2025-10,afrinic,unsign,13,,3,2,0.667,0.5556,concentrated (one block is most of it)
2025-10,arin,rollover,13,8,4,1,1.0,1.0,one block
2025-10,arin,sign,,13,105,45,0.114,0.0407,diffuse (many blocks)
2025-10,arin,sign,,14,2,2,0.5,0.5,concentrated (one block is most of it)
2025-10,arin,sign,,8,137,4,0.934,0.8747,concentrated (one block is most of it)
2025-10,arin,unsign,13,,22,13,0.182,0.1198,diffuse (many blocks)
2025-10,arin,unsign,8,,14,6,0.286,0.2041,diffuse (many blocks)
2025-10,lacnic,rollover,13,8,4,1,1.0,1.0,one block
2025-10,lacnic,sign,,13,58,20,0.138,0.0702,diffuse (many blocks)
2025-10,lacnic,sign,,8,7,3,0.571,0.4286,concentrated (one block is most of it)
2025-10,lacnic,unsign,13,,13,4,0.308,0.2899,diffuse (many blocks)
2025-10,lacnic,unsign,8,,8,3,0.5,0.4062,concentrated (one block is most of it)
2025-10,ripe,sign,,13,2,2,0.5,0.5,concentrated (one block is most of it)
2025-10,ripe,sign,,8,4,1,1.0,1.0,one block
2025-10,ripe,unsign,13,,2,2,0.5,0.5,concentrated (one block is most of it)
2025-11,afrinic,sign,,13,4,1,1.0,1.0,one block
2025-11,afrinic,sign,,8,4,1,1.0,1.0,one block
2025-11,afrinic,unsign,8,,37,3,0.865,0.7604,concentrated (one block is most of it)
2025-11,arin,rollover,8,13,4,4,0.25,0.25,diffuse (many blocks)
2025-11,arin,sign,,13,72,35,0.111,0.0467,diffuse (many blocks)
2025-11,arin,sign,,8,19,7,0.211,0.1745,diffuse (many blocks)
2025-11,arin,unsign,13,,17,11,0.235,0.1419,diffuse (many blocks)
2025-11,arin,unsign,8,,103,7,0.932,0.8695,concentrated (one block is most of it)
2025-11,lacnic,sign,,13,18,8,0.222,0.1728,diffuse (many blocks)
2025-11,lacnic,sign,,8,11,3,0.364,0.3388,diffuse (many blocks)
2025-11,lacnic,unsign,13,,10,5,0.4,0.28,diffuse (many blocks)
2025-11,lacnic,unsign,8,,3,2,0.667,0.5556,concentrated (one block is most of it)
2025-11,ripe,sign,,13,8,4,0.5,0.3438,concentrated (one block is most of it)
2025-11,ripe,unsign,13,,4,1,1.0,1.0,one block
2025-12,afrinic,sign,,13,4,1,1.0,1.0,one block
2025-12,afrinic,sign,,8,5,2,0.8,0.68,concentrated (one block is most of it)
2025-12,afrinic,unsign,5,,1,1,1.0,1.0,single delegation
2025-12,arin,rollover,8,13,1,1,1.0,1.0,single delegation
2025-12,arin,sign,,13,81,32,0.198,0.073,diffuse (many blocks)
2025-12,arin,sign,,15,1,1,1.0,1.0,single delegation
2025-12,arin,sign,,8,15,11,0.267,0.1289,diffuse (many blocks)
2025-12,arin,unsign,13,,15,7,0.267,0.1911,diffuse (many blocks)
2025-12,arin,unsign,7,,1,1,1.0,1.0,single delegation
2025-12,arin,unsign,8,,5,2,0.6,0.52,concentrated (one block is most of it)
2025-12,lacnic,sign,,13,26,8,0.154,0.145,diffuse (many blocks)
2025-12,lacnic,sign,,8,7,3,0.571,0.4286,concentrated (one block is most of it)
2025-12,lacnic,unsign,13,,11,3,0.455,0.3719,diffuse (many blocks)
2025-12,lacnic,unsign,8,,4,2,0.75,0.625,concentrated (one block is most of it)
2025-12,ripe,sign,,13,9,3,0.444,0.4074,diffuse (many blocks)
2025-12,ripe,sign,,15,1,1,1.0,1.0,single delegation
2025-12,ripe,unsign,13,,2,1,1.0,1.0,one block
2026-01,afrinic,sign,,13,5,2,0.8,0.68,concentrated (one block is most of it)
2026-01,afrinic,sign,,8,1,1,1.0,1.0,single delegation
2026-01,afrinic,unsign,8,,1,1,1.0,1.0,single delegation
2026-01,arin,rollover,13,8,2,1,1.0,1.0,one block
2026-01,arin,rollover,8,"8,13",3,2,0.667,0.5556,concentrated (one block is most of it)
2026-01,arin,sign,,13,42,19,0.19,0.0907,diffuse (many blocks)
2026-01,arin,sign,,8,10,4,0.4,0.3,diffuse (many blocks)
2026-01,arin,unsign,13,,21,11,0.19,0.1338,diffuse (many blocks)
2026-01,arin,unsign,8,,11,8,0.364,0.1901,diffuse (many blocks)
2026-01,lacnic,sign,,13,24,7,0.333,0.2049,diffuse (many blocks)
2026-01,lacnic,sign,,8,6,3,0.667,0.5,concentrated (one block is most of it)
2026-01,lacnic,unsign,13,,21,8,0.19,0.161,diffuse (many blocks)
2026-01,lacnic,unsign,8,,14,7,0.286,0.2041,diffuse (many blocks)
2026-01,ripe,sign,,13,4,1,1.0,1.0,one block
2026-02,afrinic,rollover,13,"7,13",4,1,1.0,1.0,one block
2026-02,afrinic,sign,,13,8,4,0.5,0.3438,concentrated (one block is most of it)
2026-02,afrinic,unsign,13,,4,3,0.5,0.375,concentrated (one block is most of it)
2026-02,afrinic,unsign,7,,1,1,1.0,1.0,single delegation
2026-02,arin,sign,,13,71,37,0.169,0.0557,diffuse (many blocks)
2026-02,arin,sign,,15,2,2,0.5,0.5,concentrated (one block is most of it)
2026-02,arin,sign,,8,36,14,0.444,0.2299,diffuse (many blocks)
2026-02,arin,unsign,13,,24,13,0.167,0.1111,diffuse (many blocks)
2026-02,arin,unsign,7,,2,2,0.5,0.5,concentrated (one block is most of it)
2026-02,arin,unsign,8,,7,5,0.429,0.2653,diffuse (many blocks)
2026-02,lacnic,sign,,13,12,4,0.333,0.2778,diffuse (many blocks)
2026-02,lacnic,sign,,8,5,2,0.6,0.52,concentrated (one block is most of it)
2026-02,lacnic,unsign,13,,11,4,0.364,0.3058,diffuse (many blocks)
2026-02,lacnic,unsign,8,,3,2,0.667,0.5556,concentrated (one block is most of it)
2026-02,ripe,sign,,13,7,4,0.571,0.3878,concentrated (one block is most of it)
2026-02,ripe,sign,,15,2,2,0.5,0.5,concentrated (one block is most of it)
2026-02,ripe,unsign,13,,1,1,1.0,1.0,single delegation
2026-03,afrinic,sign,,13,4,1,1.0,1.0,one block
2026-03,arin,rollover,8,14,2,1,1.0,1.0,one block
2026-03,arin,sign,,13,195,27,0.595,0.372,concentrated (one block is most of it)
2026-03,arin,sign,,"13,14",1,1,1.0,1.0,single delegation
2026-03,arin,sign,,14,1,1,1.0,1.0,single delegation
2026-03,arin,sign,,7,4,1,1.0,1.0,one block
2026-03,arin,sign,,8,2,2,0.5,0.5,concentrated (one block is most of it)
2026-03,arin,unsign,13,,17,10,0.235,0.1488,diffuse (many blocks)
2026-03,arin,unsign,5,,2,1,1.0,1.0,one block
2026-03,arin,unsign,8,,7,4,0.571,0.3878,concentrated (one block is most of it)
2026-03,lacnic,sign,,13,33,9,0.121,0.1148,diffuse (many blocks)
2026-03,lacnic,sign,,7,4,1,1.0,1.0,one block
2026-03,lacnic,sign,,8,3,2,0.667,0.5556,concentrated (one block is most of it)
2026-03,lacnic,unsign,13,,8,4,0.5,0.3438,concentrated (one block is most of it)
2026-03,lacnic,unsign,5,,1,1,1.0,1.0,single delegation
2026-03,lacnic,unsign,8,,5,2,0.8,0.68,concentrated (one block is most of it)
2026-03,ripe,sign,,13,25,3,0.88,0.7824,concentrated (one block is most of it)
2026-03,ripe,sign,,15,1,1,1.0,1.0,single delegation
2026-03,ripe,unsign,13,,1,1,1.0,1.0,single delegation
2026-04,afrinic,sign,,8,1,1,1.0,1.0,single delegation
2026-04,arin,rollover,13,8,1,1,1.0,1.0,single delegation
2026-04,arin,rollover,7,13,2,2,0.5,0.5,concentrated (one block is most of it)
2026-04,arin,sign,,13,49,21,0.184,0.0929,diffuse (many blocks)
2026-04,arin,sign,,5,2,1,1.0,1.0,one block
2026-04,arin,sign,,8,25,9,0.16,0.136,diffuse (many blocks)
2026-04,arin,unsign,13,,18,11,0.333,0.1605,diffuse (many blocks)
2026-04,arin,unsign,5,,17,3,0.471,0.4464,diffuse (many blocks)
2026-04,arin,unsign,8,,5,2,0.8,0.68,concentrated (one block is most of it)
2026-04,lacnic,sign,,13,9,3,0.444,0.4074,diffuse (many blocks)
2026-04,lacnic,sign,,5,1,1,1.0,1.0,single delegation
2026-04,lacnic,sign,,7,1,1,1.0,1.0,single delegation
2026-04,lacnic,sign,,8,11,5,0.364,0.2893,diffuse (many blocks)
2026-04,lacnic,unsign,13,,16,6,0.312,0.2188,diffuse (many blocks)
2026-04,lacnic,unsign,8,,3,2,0.667,0.5556,concentrated (one block is most of it)
2026-04,ripe,sign,,13,4,1,1.0,1.0,one block
2026-04,ripe,unsign,13,,2,1,1.0,1.0,one block
2026-05,afrinic,sign,,13,2,1,1.0,1.0,one block
2026-05,afrinic,unsign,8,,1,1,1.0,1.0,single delegation
2026-05,arin,rollover,7,13,4,1,1.0,1.0,one block
2026-05,arin,rollover,"7,13",13,1,1,1.0,1.0,single delegation
2026-05,arin,sign,,10,4,1,1.0,1.0,one block
2026-05,arin,sign,,13,71,29,0.282,0.1085,diffuse (many blocks)
2026-05,arin,sign,,14,1,1,1.0,1.0,single delegation
2026-05,arin,sign,,7,3,1,1.0,1.0,one block
2026-05,arin,sign,,8,10,6,0.4,0.24,diffuse (many blocks)
2026-05,arin,unsign,10,,3,3,0.333,0.3333,diffuse (many blocks)
2026-05,arin,unsign,13,,12,6,0.333,0.25,diffuse (many blocks)
2026-05,arin,unsign,8,,16,7,0.25,0.1719,diffuse (many blocks)
2026-05,lacnic,sign,,13,32,10,0.188,0.125,diffuse (many blocks)
2026-05,lacnic,sign,,8,3,3,0.333,0.3333,diffuse (many blocks)
2026-05,lacnic,unsign,13,,12,4,0.333,0.2778,diffuse (many blocks)
2026-05,lacnic,unsign,7,,1,1,1.0,1.0,single delegation
2026-05,lacnic,unsign,8,,3,2,0.667,0.5556,concentrated (one block is most of it)
2026-05,ripe,rollover,7,13,4,1,1.0,1.0,one block
2026-05,ripe,sign,,13,27,4,0.741,0.5857,concentrated (one block is most of it)
2026-06,arin,rollover,5,13,2,2,0.5,0.5,concentrated (one block is most of it)
2026-06,arin,rollover,7,13,2,2,0.5,0.5,concentrated (one block is most of it)
2026-06,arin,rollover,"8,13",8,2,1,1.0,1.0,one block
2026-06,arin,sign,,13,67,31,0.06,0.0461,diffuse (many blocks)
