release_date,project,version,change,commit_date,changed_files,attribution,attribution_basis,evidence_text,evidence_commit,evidence_url,note
2010-02-16,BIND 9,9.7.0,NSEC3 iterations default 100 -> 10,2009-09-29,"bin/dnssec/dnssec-signzone.c, dnssec-signzone.docbook",exact,The cited commit introduces the feature and this is the single earliest stable release containing it.,2794. [bug] Reduce default NSEC3 iterations from 100 to 10. [RT #19970],a93a66f61872a92ef4a272ca998aaff954ab4fed,https://gitlab.isc.org/isc-projects/bind9/-/commit/a93a66f61872a92ef4a272ca998aaff954ab4fed,
2011-03-18,OpenDNSSEC,1.2.0,default signing algorithm -> 8 (RSASHA256),2010-09-09,conf/kasp.xml.in (shipped default policy),approximate,"Default lives in conf/kasp.xml.in, the shipped example policy; operators who wrote their own kasp.xml were unaffected.",Default algorithm is now 8 (RSASHA256),00ac6896dd20e8626883d2db737cc56e02016566,https://github.com/opendnssec/opendnssec/commit/00ac6896dd20e8626883d2db737cc56e02016566,
2015-06-26,Knot DNS,2.0.0,default signing algorithm -> RSASHA256,2015-04-22,src/dnssec/lib/kasp/policy.c,exact,The cited commit introduces the feature and this is the single earliest stable release containing it.,[dnssec] use RSA-SHA-256 as a default algorithm,4a85667e726a1ba8b176c75b45f21db40a8dba78,https://github.com/CZ-NIC/knot/commit/4a85667e726a1ba8b176c75b45f21db40a8dba78,
2016-01-14,Knot DNS,2.1.0,default signing algorithm -> ECDSAP256SHA256,2015-12-16,src/dnssec/lib/kasp/policy.c,exact,The cited commit introduces the feature and this is the single earliest stable release containing it.,dnssec: switch default algorithm to ECDSA-P256-SHA256,2e64ea6d086a3c5daf2bbea6028a54ba4c445f44,https://github.com/CZ-NIC/knot/commit/2e64ea6d086a3c5daf2bbea6028a54ba4c445f44,
2016-07-08,PowerDNS Authoritative,4.0.0,default ZSK algorithm -> ECDSA P-256,2015-12-23,"pdns/common_startup.cc, pdns/pdns.conf-dist, pdns/pdnsutil.cc",exact,The cited commit introduces the feature and this is the single earliest stable release containing it.,switch ZSK default to ecdsa256,d113baca3b6896cd71f1b277b17df75607ae4015,https://github.com/PowerDNS/pdns/commit/d113baca3b6896cd71f1b277b17df75607ae4015,
2016-07-08,PowerDNS Authoritative,4.0.0,default KSK algorithm -> ECDSA P-256,2016-03-18,pdns/pdnsutil.cc,exact,The cited commit introduces the feature and this is the single earliest stable release containing it.,pdnsutil: make ecdsa256 the default algorithm for add-zone-key and generate-zone-key,fae95f259e10eefa06999952380b28d927e21508,https://github.com/PowerDNS/pdns/commit/fae95f259e10eefa06999952380b28d927e21508,
